method,method_label,method_family,n_public_windows,feasible_windows_C97_O3,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_median,path_gain_vs_fixed_pct_min,path_gain_vs_fixed_pct_max,path_gain_vs_fixed_pct_q25,path_gain_vs_fixed_pct_q75,coverage_pct_mean,coverage_pct_median,coverage_pct_min,coverage_pct_max,coverage_pct_q25,coverage_pct_q75,coverage_delta_vs_fixed_pp_mean,coverage_delta_vs_fixed_pp_median,coverage_delta_vs_fixed_pp_min,coverage_delta_vs_fixed_pp_max,coverage_delta_vs_fixed_pp_q25,coverage_delta_vs_fixed_pp_q75,excess_overlap_pct_mean,excess_overlap_pct_median,excess_overlap_pct_min,excess_overlap_pct_max,excess_overlap_pct_q25,excess_overlap_pct_q75,overlap_cleanup_vs_fixed_pp_mean,overlap_cleanup_vs_fixed_pp_median,overlap_cleanup_vs_fixed_pp_min,overlap_cleanup_vs_fixed_pp_max,overlap_cleanup_vs_fixed_pp_q25,overlap_cleanup_vs_fixed_pp_q75,score_mean,score_median,score_min,score_max,score_q25,score_q75,line_count_mean,line_count_median,line_count_min,line_count_max,line_count_q25,line_count_q75
Fixed-Spacing,Fixed,paper_reference,9,8,0.0,0.0,0.0,0.0,0.0,0.0,99.34444444444445,99.42222222222222,97.2,100.0,99.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.143261780911171,0.7985185185185184,0.43856848827903316,29.960005980349994,0.6814814814814812,1.6333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,15746.503454429023,15169.104466151864,56.83,32018.002591241202,187.13432279305,30144.198739396863,88.66666666666667,117.0,6.0,146.0,12.0,146.0
Min-Span Boustrophedon,Min-span,external_heuristic,9,6,4.298915766200689,0.34952289416557386,-0.11724351605577599,36.64300985568881,-0.05777007510109982,0.5207316929724048,98.13888888888889,99.17222222222222,92.44444444444444,99.25,98.33888888888889,99.17777777777778,-1.2055555555555566,-0.8277777777777828,-4.75555555555556,-0.15555555555555145,-0.9444444444444429,-0.75,3.065499624669171,0.801318725,0.0,8.555555555555554,0.30069568518518475,7.4880337369886965,1.0777621562419994,0.12550335925925915,-6.922222222222221,22.471972243361297,-0.42520201203703734,0.43856848827903316,15734.092693011502,15090.135006692964,77.62666666666667,32056.814832307566,448.52594599541067,30037.57822781699,76.77777777777777,84.0,5.0,143.0,6.0,134.0
Contour-Parallel Fixed-Width,Contour,external_heuristic,9,6,0.6533660380027762,0.12829916028981433,-9.54529909770466,22.463791465560917,0.0,0.4682793113313309,98.86913580246913,99.99444444444444,92.60000000000001,100.0,99.17222222222222,99.99444444444444,-0.47530864197530953,-0.005555555555559977,-4.599999999999994,0.6611111111111114,-0.16111111111111143,0.0,2.726353088754297,0.43856848827903316,0.0,15.341336559534332,0.01969394101851852,3.1909985962037037,1.4169086921568737,0.619139292685707,-3.083248851496913,14.618669420815662,-0.002800206481481604,0.6814814814814812,15753.46747487038,15090.135006692964,65.8941060569454,31974.941023158735,473.4313102973681,30079.97685913665,95.44444444444444,84.0,8.0,186.0,9.0,167.0
Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,9,8,4.384282568757445,0.39802482907545345,0.0,36.64300985568881,0.25127295627699936,0.6588887774647991,98.67283950617283,99.99444444444444,92.44444444444444,100.0,98.57777777777777,100.0,-0.6716049382716057,-0.005555555555559977,-4.75555555555556,0.6611111111111114,-0.8444444444444485,0.0,1.2732869840992125,0.22567574799680976,0.0,7.4880337369886965,0.06046681481481475,1.6333333333333329,2.8699747968119578,0.5141191296296299,0.0,22.471972243361297,0.4221428486117367,0.6568831337962964,15709.045612006918,15066.117045741856,56.83,31935.69210272534,448.52594599541067,30037.57822781699,80.77777777777777,94.0,6.0,155.0,6.0,134.0
Adaptive Spacing w/o GA,Adaptive,paper_reference,9,9,3.0409568771683415,0.6811884200454528,-0.34662045060658525,24.02221982898938,0.49270084458943014,0.681831169401425,99.34999999999998,99.33333333333333,98.19444444444444,100.0,99.33333333333333,100.0,0.00555555555555524,0.0,-0.6666666666666714,1.3500000000000085,-0.6166666666666742,0.0,0.24858161738298948,0.0,0.0,2.2372345564469054,0.0,0.0,3.894680163528181,0.7985185185185184,0.43856848827903316,27.72277142390309,0.6814814814814812,1.6333333333333329,15629.059833300715,15038.223860078393,52.11,31797.663364969383,80.6033656166378,29936.79408303439,85.66666666666667,116.0,6.0,145.0,12.0,145.0
Hybrid GA Seed-0,Hybrid s0,paper_reference,9,9,3.202120104194557,0.6811884200454528,-0.14736755403450602,25.073646534704757,0.49275932362557556,0.681831169401425,99.11172839506172,99.33333333333333,98.19444444444444,100.0,98.59444444444443,99.33333333333333,-0.2327160493827181,-0.6666666666666714,-0.8277777777777828,1.3500000000000085,-0.6666666666666714,0.0,0.18732435474746595,0.0,0.0,1.5733972802907423,0.0,0.017754944001838673,3.9559374261637053,0.7807635745166798,0.34380151984442076,28.386608700059252,0.6814814814814812,1.6333333333333329,15628.729388594653,15038.20461813184,52.00652797081012,31797.663364969383,77.58929605449754,29936.79408303439,85.66666666666667,116.0,6.0,145.0,12.0,145.0
