evidence_block,scene_id,scene_name,scene_group,terrain_class,method,seed,n_segments,path_length_km,path_without_transition_km,boundary_transition_km,heading_turn_transition_km_at_base_radius,base_min_turn_radius_m,coverage_pct,excess_overlap_pct,line_count,feasible,radius_m,line_change_count,line_change_turn_arc_km,heading_turn_arc_km,total_turn_arc_km,vehicle_length_km,turn_arc_fraction_pct,mission_time_h,vehicle_length_gain_vs_fixed_pct,mission_time_gain_vs_fixed_pct
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Fixed-Spacing,0,1,208.860307806,208.860307806,0.0,0.0,0.0,98.66666666666669,3.611543204114926,27,0,25.0,26,2.0420352248333655,0.0,2.0420352248333655,210.90234303083338,0.9682373346297177,39.43414412141976,0.0,0.0
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Fixed-Spacing,0,1,208.860307806,208.860307806,0.0,0.0,0.0,98.66666666666669,3.611543204114926,27,0,50.0,26,4.084070449666731,0.0,4.084070449666731,212.94437825566675,1.9179047989533144,40.19045346395064,0.0,0.0
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Fixed-Spacing,0,1,208.860307806,208.860307806,0.0,0.0,0.0,98.66666666666669,3.611543204114926,27,0,100.0,26,8.168140899333462,0.0,8.168140899333462,217.02844870533346,3.7636268185391724,41.70307214901239,0.0,0.0
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Adaptive Spacing w/o GA,0,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.4049545270949,0.9653134620337234,38.031194432516386,3.554910010005142,3.5577028997602236
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Adaptive Spacing w/o GA,0,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3684499355885,1.9121685040807863,38.7584149541807,3.55770289976023,3.563131008348598
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Adaptive Spacing w/o GA,0,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.29544075257576,3.7525813298815613,40.21285599750931,3.563131008348614,3.5733965741859026
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,0,1,201.43428206551525,201.43428206551525,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.39777747400888,0.9653475238904836,38.02986534861157,3.5583130319834115,3.5610732883775635
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,0,1,201.43428206551525,201.43428206551525,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.36127288250248,1.9122353313587368,38.75708587027588,3.5610732883775835,3.566437972541011
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,0,1,201.43428206551525,201.43428206551525,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.28826369948973,3.752710015909808,40.21152691360449,3.566437972541023,3.5765835909602828
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,1,1,201.41660556846384,201.41660556846384,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.38010097695746,0.9654314257204939,38.02659192323167,3.5666943978788237,3.5693742809636406
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,1,1,201.41660556846384,201.41660556846384,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.34359638545106,1.9123999414210489,38.75381244489598,3.569374280963633,3.574582755935501
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,1,1,201.41660556846384,201.41660556846384,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.27058720243832,3.7530269967546452,40.20825348822459,3.574582755935485,3.5844329536360076
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,2,1,201.42540194070128,201.42540194070128,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.3888973491949,0.965389671749156,38.02822088105342,3.5625235707030654,3.5652434500351555
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,2,1,201.42540194070128,201.42540194070128,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3523927576885,1.912318022815058,38.75544140271773,3.5652434500351546,3.570529659537342
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,2,1,201.42540194070128,201.42540194070128,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.27938357467576,3.7528692505786165,40.209882446046336,3.5705296595373333,3.580526867734414
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,3,1,201.43257312261736,201.43257312261736,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.39606853111098,0.9653556347837121,38.02954887770455,3.559123332558234,3.5618758185555968
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,3,1,201.43257312261736,201.43257312261736,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.35956393960458,1.912251244428116,38.75676939936886,3.5618758185556008,3.56722540059854
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,3,1,201.43257312261736,201.43257312261736,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.28655475659184,3.752740658906139,40.21121044269747,3.5672254005985358,3.5773424580909476
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,4,1,201.42858723969312,201.42858723969312,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.39208264818674,0.9653745528973889,38.028810751237096,3.5610132513078123,3.563747613883982
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,4,1,201.42858723969312,201.42858723969312,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.35557805668034,1.9122883605836845,38.7560312729014,3.563747613883982,3.5690619722314416
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,4,1,201.42858723969312,201.42858723969312,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.2825688736676,3.7528121315805807,40.21047231623002,3.569061972231434,3.579112415145469
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,5,1,201.43732905148588,201.43732905148588,0.0,0.0,0.0,98.66666666666669,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.4008244599795,0.9653330627870448,38.03042960527279,3.5568682941361027,3.5596424048785242
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,5,1,201.43732905148588,201.43732905148588,0.0,0.0,0.0,98.66666666666669,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3643198684731,1.9122069595644986,38.7576501269371,3.5596424048785282,3.565034015599527
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,5,1,201.43732905148588,201.43732905148588,0.0,0.0,0.0,98.66666666666669,0.0,26,1,100.0,25,7.853981633974483,0.0,7.853981633974483,209.29131068546036,3.7526553817506887,40.21209117026571,3.565034015599523,3.5752305571617065
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,6,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,25.0,25,1.9634954084936207,0.0,1.9634954084936207,203.4049545270949,0.9653134620337234,38.031194432516386,3.554910010005142,3.5577028997602236
main_benchmark,synthetic_flat,Flat Seafloor,synthetic,flat,Full Geometry-Aware Hybrid GA,6,1,201.44145911860127,201.44145911860127,0.0,0.0,0.0,99.33333333333331,0.0,26,1,50.0,25,3.9269908169872414,0.0,3.9269908169872414,205.3684499355885,1.9121685040807863,38.7584149541807,3.55770289976023,3.563131008348598
