evidence_block,scene_id,scene_name,scene_group,terrain_class,method,n_segments,radius_m,n_runs,path_length_km_mean,path_length_km_std,path_length_km_min,path_length_km_max,vehicle_length_km_mean,vehicle_length_km_std,vehicle_length_km_min,vehicle_length_km_max,mission_time_h_mean,mission_time_h_std,mission_time_h_min,mission_time_h_max,vehicle_length_gain_vs_fixed_pct_mean,vehicle_length_gain_vs_fixed_pct_std,vehicle_length_gain_vs_fixed_pct_min,vehicle_length_gain_vs_fixed_pct_max,mission_time_gain_vs_fixed_pct_mean,mission_time_gain_vs_fixed_pct_std,mission_time_gain_vs_fixed_pct_min,mission_time_gain_vs_fixed_pct_max,turn_arc_fraction_pct_mean,turn_arc_fraction_pct_std,turn_arc_fraction_pct_min,turn_arc_fraction_pct_max,line_count_mean,line_count_std,line_count_min,line_count_max,line_change_count_mean,line_change_count_std,line_change_count_min,line_change_count_max,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_max,feasible_mean,feasible_std,feasible_min,feasible_max
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Adaptive Spacing w/o GA,1,25.0,1,15038.22386007842,,15038.22386007842,15038.22386007842,15047.25593895749,,15047.25593895749,15047.25593895749,2788.201484784548,,2788.201484784548,2788.201484784548,0.8471607749822607,,0.8471607749822607,0.8471607749822607,0.8471697195633777,,0.8471697195633777,0.8471697195633777,0.060024757442229154,,0.060024757442229154,0.060024757442229154,116.0,,116,116,115.0,,115,115,99.33333333333331,,99.33333333333331,99.33333333333331,0.0,,0.0,0.0,1.0,,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Adaptive Spacing w/o GA,1,50.0,1,15038.22386007842,,15038.22386007842,15038.22386007842,15056.288017836561,,15056.288017836561,15056.288017836561,2791.546699184204,,2791.546699184204,2791.546699184204,0.8471697195633682,,0.8471697195633682,0.8471697195633682,0.8471875765648994,,0.8471875765648994,0.8471875765648994,0.11997749868188926,,0.11997749868188926,0.11997749868188926,116.0,,116,116,115.0,,115,115,99.33333333333331,,99.33333333333331,99.33333333333331,0.0,,0.0,0.0,1.0,,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Adaptive Spacing w/o GA,1,100.0,1,15038.22386007842,,15038.22386007842,15038.22386007842,15074.352175594702,,15074.352175594702,15074.352175594702,2798.2371279835156,,2798.2371279835156,2798.2371279835156,0.8471875765648935,,0.8471875765648935,0.8471875765648935,0.8472231624634806,,0.8472231624634806,0.8472231624634806,0.23966745035169187,,0.23966745035169187,0.23966745035169187,116.0,,116,116,115.0,,115,115,99.33333333333331,,99.33333333333331,99.33333333333331,0.0,,0.0,0.0,1.0,,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Fixed-Spacing,1,25.0,1,15166.708910596337,,15166.708910596337,15166.708910596337,15175.819529291748,,15175.819529291748,15175.819529291748,2812.024101479103,,2812.024101479103,2812.024101479103,0.0,,0.0,0.0,0.0,,0.0,0.0,0.06003378386139513,,0.06003378386139513,0.06003378386139513,117.0,,117,117,116.0,,116,116,100.0,,100.0,100.0,0.7985185185185184,,0.7985185185185184,0.7985185185185184,1.0,,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Fixed-Spacing,1,50.0,1,15166.708910596337,,15166.708910596337,15166.708910596337,15184.930147987157,,15184.930147987157,15184.930147987157,2815.3984046996256,,2815.3984046996256,2815.3984046996256,0.0,,0.0,0.0,0.0,,0.0,0.0,0.11999552986574732,,0.11999552986574732,0.11999552986574732,117.0,,117,117,116.0,,116,116,100.0,,100.0,100.0,0.7985185185185184,,0.7985185185185184,0.7985185185185184,1.0,,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Fixed-Spacing,1,100.0,1,15166.708910596337,,15166.708910596337,15166.708910596337,15203.151385377978,,15203.151385377978,15203.151385377978,2822.14701114067,,2822.14701114067,2822.14701114067,0.0,,0.0,0.0,0.0,,0.0,0.0,0.23970342633495767,,0.23970342633495767,0.23970342633495767,117.0,,117,117,116.0,,116,116,100.0,,100.0,100.0,0.7985185185185184,,0.7985185185185184,0.7985185185185184,1.0,,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Full Geometry-Aware Hybrid GA,1,25.0,50,15038.154768103666,0.07077759179398672,15037.952874807275,15038.22386007842,15047.186846982737,0.07077759179398672,15046.984953686346,15047.25593895749,2788.1886899744086,0.013106961443241291,2788.151302326929,2788.201484784548,0.8476160517112755,0.00046638398445165036,0.8471607749822607,0.8489464134489147,0.8476247231365277,0.00046610416448240595,0.8471697195633777,0.848954286686847,0.060025033058439134,2.82341782126214e-07,0.060024757442229154,0.06002583844451771,116.0,0.0,116,116,115.0,0.0,115,115,98.98666666666666,0.3364480330029455,98.66666666666669,99.33333333333331,0.13534907866893026,0.14933951606845955,0.0,0.677862247805825,1.0,0.0,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Full Geometry-Aware Hybrid GA,1,50.0,50,15038.154768103666,0.07077759179398672,15037.952874807275,15038.22386007842,15056.218925861807,0.07077759179398672,15056.017032565416,15056.288017836561,2791.533904374064,0.01310696144323918,2791.496516726585,2791.546699184204,0.8476247231365213,0.00046610416448493805,0.8471697195633682,0.8489542866868525,0.8476420348084694,0.0004655455306561814,0.8471875765648994,0.8489700048540987,0.11997804925314963,5.640062693650677e-07,0.11997749868188926,0.11997965809330206,116.0,0.0,116,116,115.0,0.0,115,115,98.98666666666666,0.3364480330029455,98.66666666666669,99.33333333333331,0.13534907866893026,0.14933951606845955,0.0,0.677862247805825,1.0,0.0,1,1
main_benchmark,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,public,moderate_slope,Full Geometry-Aware Hybrid GA,1,100.0,50,15038.154768103666,0.07077759179398672,15037.952874807275,15038.22386007842,15074.283083619948,0.07077759179398672,15074.081190323557,15074.352175594702,2798.2243331733757,0.013106961443243408,2798.1869455258966,2798.2371279835156,0.8476420348084693,0.0004655455306586815,0.8471875765648935,0.8489700048541077,0.847676533960038,0.00046443227059066205,0.8472231624634806,0.8490013284279371,0.23966854885670144,1.125310660248385e-06,0.23966745035169187,0.23967175882981392,116.0,0.0,116,116,115.0,0.0,115,115,98.98666666666666,0.3364480330029455,98.66666666666669,99.33333333333331,0.13534907866893026,0.14933951606845955,0.0,0.677862247805825,1.0,0.0,1,1
main_benchmark,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,public,complex_relief,Adaptive Spacing w/o GA,1,25.0,1,6656.620000000046,,6656.620000000046,6656.620000000046,6661.175309347752,,6661.175309347752,6661.175309347752,1234.3945590176772,,1234.3945590176772,1234.3945590176772,0.6709660481263251,,0.6709660481263251,0.6709660481263251,0.6867831319369567,,0.6867831319369567,0.6867831319369567,0.06838596998509631,,0.06838596998509631,0.06838596998509631,59.0,,59,59,58.0,,58,58,100.0,,100.0,100.0,0.0,,0.0,0.0,1.0,,1,1
main_benchmark,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,public,complex_relief,Adaptive Spacing w/o GA,1,50.0,1,6656.620000000046,,6656.620000000046,6656.620000000046,6665.7306186954565,,6665.7306186954565,6665.7306186954565,1236.0817106279385,,1236.0817106279385,1236.0817106279385,0.6867831319369635,,0.6867831319369635,0.6867831319369635,0.7183374765400813,,0.7183374765400813,0.7183374765400813,0.13667847107198924,,0.13667847107198924,0.13667847107198924,59.0,,59,59,58.0,,58,58,100.0,,100.0,100.0,0.0,,0.0,0.0,1.0,,1,1
main_benchmark,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,public,complex_relief,Adaptive Spacing w/o GA,1,100.0,1,6656.620000000046,,6656.620000000046,6656.620000000046,6674.841237390867,,6674.841237390867,6674.841237390867,1239.4560138484608,,1239.4560138484608,1239.4560138484608,0.7183374765400967,,0.7183374765400967,0.7183374765400967,0.7811287472783764,,0.7811287472783764,0.7811287472783764,0.27298383201610515,,0.27298383201610515,0.27298383201610515,59.0,,59,59,58.0,,58,58,100.0,,100.0,100.0,0.0,,0.0,0.0,1.0,,1,1
main_benchmark,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,public,complex_relief,Fixed-Spacing,1,25.0,1,6700.516576082014,,6700.516576082014,6700.516576082014,6706.1714428584755,,6706.1714428584755,6706.1714428584755,1242.9307980805438,,1242.9307980805438,1242.9307980805438,0.0,,0.0,0.0,0.0,,0.0,0.0,0.08432332553149381,,0.08432332553149381,0.08432332553149381,73.0,,73,73,72.0,,72,72,99.33333333333331,,99.33333333333331,99.33333333333331,0.8148148148148147,,0.8148148148148147,0.8148148148148147,1.0,,1,1
main_benchmark,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,public,complex_relief,Fixed-Spacing,1,50.0,1,6700.516576082014,,6700.516576082014,6700.516576082014,6711.8263096349365,,6711.8263096349365,6711.8263096349365,1245.025193182937,,1245.025193182937,1245.025193182937,0.0,,0.0,0.0,0.0,,0.0,0.0,0.1685045624122893,,0.1685045624122893,0.1685045624122893,73.0,,73,73,72.0,,72,72,99.33333333333331,,99.33333333333331,99.33333333333331,0.8148148148148147,,0.8148148148148147,0.8148148148148147,1.0,,1,1
