scene_id,scene_name,target_overlap,quantile,used_ga_cleanup,orientation_deg,line_count,path_length_km,coverage_pct,excess_overlap_pct,cross_feasible_rate,cross_coverage_p05,cross_overlap_p95,adverse_feasible_rate,adverse_coverage_p05,adverse_overlap_p95,selection_score
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.18,0,90.0,75,13484.939999999964,100.0,0.0,1.0,97.86583333333334,0.0,0.575,93.20027777777777,0.3084359634107396,188.04277777777799
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.22,0,90.0,75,13484.939999999964,100.0,0.0,1.0,97.86583333333334,0.0,0.575,93.20027777777777,0.3084359634107396,188.04277777777799
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.26,0,90.0,75,13484.939999999964,100.0,0.0,1.0,97.86583333333334,0.0,0.575,93.20027777777777,0.3084359634107396,188.04277777777799
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.3,0,90.0,75,13484.939999999964,100.0,0.0,1.0,97.86583333333334,0.0,0.575,93.20027777777777,0.3084359634107396,188.04277777777799
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.34,0,90.0,75,13484.939999999964,100.0,0.0,1.0,97.86583333333334,0.0,0.575,93.20027777777777,0.3084359634107396,188.04277777777799
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.18,0,90.0,79,14197.207999999964,100.0,0.0,1.0,98.24638888888887,0.023315376813753338,0.7375,95.14361111111111,0.7957698312311843,103.39111111111106
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.22,0,90.0,79,14197.207999999964,100.0,0.0,1.0,98.24638888888887,0.023315376813753338,0.7375,95.14361111111111,0.7957698312311843,103.39111111111106
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.26,0,90.0,79,14197.207999999964,100.0,0.0,1.0,98.24638888888887,0.023315376813753338,0.7375,95.14361111111111,0.7957698312311843,103.39111111111106
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.3,0,90.0,79,14197.207999999964,100.0,0.0,1.0,98.24638888888887,0.023315376813753338,0.7375,95.14361111111111,0.7957698312311843,103.39111111111106
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.34,0,90.0,79,14197.207999999964,100.0,0.0,1.0,98.24638888888887,0.023315376813753338,0.7375,95.14361111111111,0.7957698312311843,103.39111111111106
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.18,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.66666666666667,0.14154441133503956,0.9875,97.96805555555555,1.3550807325244942,2.6259643044128853
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.22,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.66666666666667,0.14154441133503956,0.9875,97.96805555555555,1.3550807325244942,2.6259643044128853
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.26,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.66666666666667,0.14154441133503956,0.9875,97.96805555555555,1.3550807325244942,2.6259643044128853
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.3,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.66666666666667,0.14154441133503956,0.9875,97.96805555555555,1.3550807325244942,2.6259643044128853
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.34,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.66666666666667,0.14154441133503956,0.9875,97.96805555555555,1.3550807325244942,2.6259643044128853
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.18,1,90.0,89,15978.687999999964,100.0,0.0,1.0,98.40611111111112,1.629723756260164,0.825,97.31722222222223,4.1522149006056175,217.65947125915505
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.22,1,90.0,89,15978.687999999964,100.0,0.0,1.0,98.40611111111112,1.629723756260164,0.825,97.31722222222223,4.1522149006056175,217.65947125915505
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.26,1,90.0,89,15978.687999999964,100.0,0.0,1.0,98.40611111111112,1.629723756260164,0.825,97.31722222222223,4.1522149006056175,217.65947125915505
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.3,1,90.0,89,15978.687999999964,100.0,0.0,1.0,98.40611111111112,1.629723756260164,0.825,97.31722222222223,4.1522149006056175,217.65947125915505
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.34,1,90.0,89,15978.687999999964,100.0,0.0,1.0,98.40611111111112,1.629723756260164,0.825,97.31722222222223,4.1522149006056175,217.65947125915505
