scene_id,scene_name,method,n_seeds,fixed_path_length_km,fixed_coverage_pct,fixed_excess_overlap_pct,feasible_seeds,dominant_orientation_deg,dominant_line_count,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_std,path_gain_vs_fixed_pct_ci95_low,path_gain_vs_fixed_pct_ci95_high,coverage_pct_mean,coverage_pct_std,coverage_pct_ci95_low,coverage_pct_ci95_high,coverage_delta_vs_fixed_pp_mean,coverage_delta_vs_fixed_pp_std,coverage_delta_vs_fixed_pp_ci95_low,coverage_delta_vs_fixed_pp_ci95_high,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_ci95_low,excess_overlap_pct_ci95_high,overlap_cleanup_vs_fixed_pp_mean,overlap_cleanup_vs_fixed_pp_std,overlap_cleanup_vs_fixed_pp_ci95_low,overlap_cleanup_vs_fixed_pp_ci95_high,path_length_km_mean,path_length_km_std,path_length_km_ci95_low,path_length_km_ci95_high
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,50,15166.7089,100.0,0.7985,50,0.0,116,0.8476,0.0005,0.8475,0.8477,98.9867,0.3364,98.8933,99.08,-1.0133,0.3364,-1.1067,-0.92,0.1353,0.1493,0.0964,0.1777,0.6632,0.1493,0.6205,0.7025,15038.1548,0.0708,15038.1349,15038.1732
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,50,6700.5166,99.3333,0.8148,50,90.0,59,0.6559,0.0009,0.6557,0.6562,99.55,0.4195,99.4333,99.6667,0.2167,0.4195,0.1,0.3333,0.0903,0.1153,0.0602,0.123,0.7245,0.1153,0.6915,0.7546,6656.5674,0.0612,6656.55,6656.5834
