beam_angle_deg,scene_id,scene_name,method,n_runs,resolution_stride,grid_ny,grid_nx,effective_resolution_m,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,path_length_km_mean,path_length_km_std,path_length_km_min,path_length_km_max,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_std,path_gain_vs_fixed_pct_min,path_gain_vs_fixed_pct_max,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max,feasible_mean,feasible_std,feasible_min,feasible_max
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,1,150,120,1195.3825503357511,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078419,0.0,15038.223860078419,15038.223860078419,0.8471518196551613,0.0,0.8471518196551613,0.8471518196551613,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,1.3623204050090862,0.0,1.3623204050090862,1.3623204050090862,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,1,150,120,1195.3825503357511,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.708910596337,0.0,15166.708910596337,15166.708910596337,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.10204154800157994,0.0,0.10204154800157994,0.10204154800157994,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,20,1,150,120,1195.3825503357511,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.15691505047,0.07426755873658507,15037.952874807275,15038.223860078419,0.8475932142144315,0.0004896748475517781,0.8471518196551613,0.8489385307520815,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,0.10551992863723751,0.12678431111128702,0.0,0.4793535101948629,0.9388639577504364,0.0028395670717378785,0.934993980001309,0.9491956999991089,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,1,150,120,758.7195321836407,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.620000000046,0.0,6656.620000000046,6656.620000000046,0.6551222668213291,0.0,0.6551222668213291,0.6551222668213291,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.087083841994172,0.0,1.087083841994172,1.087083841994172,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,1,150,120,758.7195321836407,0.0,0.0,0.0,0.0,73.0,0.0,73.0,73.0,6700.516576082014,0.0,6700.516576082014,6700.516576082014,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.0601926499948604,0.0,0.0601926499948604,0.0601926499948604,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,20,1,150,120,758.7195321836407,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.574420540766,0.053236830247770525,6656.457284226263,6656.620000000046,0.6558025048113524,0.000794518297854888,0.6551222668213291,0.6575506732275433,99.62500000000001,0.42534815461169795,99.16666666666667,100.0,0.08486309202565526,0.11540755612967721,0.0,0.4644609658001306,0.610876110848767,0.11072517697802899,0.561107155008358,0.9634269420057535,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,2,76,61,2390.7651006714877,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078419,0.0,15038.223860078419,15038.223860078419,0.8471518196551613,0.0,0.8471518196551613,0.8471518196551613,98.68421052631578,0.0,98.68421052631578,98.68421052631578,0.0,0.0,0.0,0.0,0.6899750050069997,0.0,0.6899750050069997,0.6899750050069997,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,2,76,61,2390.7651006714877,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.708910596337,0.0,15166.708910596337,15166.708910596337,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.576023391812865,0.0,1.576023391812865,1.576023391812865,0.022015152993844822,0.0,0.022015152993844822,0.022015152993844822,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,20,2,76,61,2390.7651006714877,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.254208672186,0.2218239245733296,15038.091835810012,15039.002901602345,0.8469517195942574,0.0014625712531368643,0.8420152964415941,0.8480223069123846,98.75,0.29421947072365856,98.68421052631578,100.0,0.36961075921598274,0.6308047225186738,0.0,2.5129578066561287,0.5318601797000155,0.02330922836597647,0.5218776789988624,0.6268299729999853,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,2,76,61,1517.439064367296,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.620000000046,0.0,6656.620000000046,6656.620000000046,0.6551222668213291,0.0,0.6551222668213291,0.6551222668213291,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.6589742850046605,0.0,0.6589742850046605,0.6589742850046605,1.0,0.0,1.0,1.0
