coverage_penalty_weight,overlap_penalty_weight,scene_id,scene_name,method,n_runs,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,path_length_km_mean,path_length_km_std,path_length_km_min,path_length_km_max,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_std,path_gain_vs_fixed_pct_min,path_gain_vs_fixed_pct_max,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max,feasible_mean,feasible_std,feasible_min,feasible_max
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.0,0.0,0.0,0.0,73.0,0.0,73.0,73.0,6700.516576082025,0.0,6700.516576082025,6700.516576082025,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.04460795799968764,0.0,0.04460795799968764,0.04460795799968764,1.0,0.0,1.0,1.0
40.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.605494749785,0.032434725626505,6656.547473748718,6656.620000000051,0.6553387464032849,0.0004840630607837037,0.6551222668214232,0.6562046647307321,99.83333333333334,0.37267799624996284,99.16666666666667,100.0,0.0015369488665715378,0.0034367221435952127,0.0,0.007684744332857689,0.7055784083961043,0.6527391671354499,0.3576561250083614,1.866027291980572,1.0,0.0,1.0,1.0
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,0.0,0.8471518196551509,0.8471518196551509,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.8982284160156269,0.0,0.8982284160156269,0.8982284160156269,1.0,0.0,1.0,1.0
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.70891059631,0.0,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.09186375001445413,0.0,0.09186375001445413,0.09186375001445413,1.0,0.0,1.0,1.0
40.0,6.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,5,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.190572346619,0.03283112912029845,15038.151353299834,15038.223860078393,0.8473712985939924,0.00021646838027829945,0.8471518196551509,0.847629884995405,99.06666666666666,0.36514837167010555,98.66666666666667,99.33333333333333,0.03484345983319574,0.05020428527943459,0.0,0.12063838321477975,0.6686097749974579,0.008757864021041279,0.6584826250036713,0.680686167004751,1.0,0.0,1.0,1.0
40.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.620000000051,0.0,6656.620000000051,6656.620000000051,0.6551222668214232,0.0,0.6551222668214232,0.6551222668214232,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.6004895420046523,0.0,0.6004895420046523,0.6004895420046523,1.0,0.0,1.0,1.0
40.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.0,0.0,0.0,0.0,73.0,0.0,73.0,73.0,6700.516576082025,0.0,6700.516576082025,6700.516576082025,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.04206029200577177,0.0,0.04206029200577177,0.04206029200577177,1.0,0.0,1.0,1.0
40.0,6.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.618160031665,0.004114294388874086,6656.610800158118,6656.620000000051,0.6551497269189499,6.140264473872151e-05,0.6551222668214232,0.6552595673090572,99.83333333333334,0.37267799624996284,99.16666666666667,100.0,0.0412208566739823,0.09217263761380032,0.0,0.2061042833699115,0.3119229834061116,0.005348979575865393,0.3052661670080852,0.3171053340192884,1.0,0.0,1.0,1.0
80.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,0.0,0.8471518196551509,0.8471518196551509,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.7431748749804683,0.0,0.7431748749804683,0.7431748749804683,1.0,0.0,1.0,1.0
80.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.70891059631,0.0,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.05547716698492877,0.0,0.05547716698492877,0.05547716698492877,1.0,0.0,1.0,1.0
80.0,1.5,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,5,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.155347306214,0.05260029551278794,15038.087328132076,15038.223860078393,0.8476035509607478,0.00034681416926278866,0.8471518196551509,0.848052027782843,98.93333333333334,0.36514837167010555,98.66666666666667,99.33333333333333,0.08537854526552743,0.07098375431616,0.0,0.15191273683398185,0.6813097334001214,0.013828243864274647,0.6646892919961829,0.700355542008765,1.0,0.0,1.0,1.0
80.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.620000000051,0.0,6656.620000000051,6656.620000000051,0.6551222668214232,0.0,0.6551222668214232,0.6551222668214232,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5855848749924917,0.0,0.5855848749924917,0.5855848749924917,1.0,0.0,1.0,1.0
80.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.0,0.0,0.0,0.0,73.0,0.0,73.0,73.0,6700.516576082025,0.0,6700.516576082025,6700.516576082025,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.043898167001316324,0.0,0.043898167001316324,0.043898167001316324,1.0,0.0,1.0,1.0
80.0,1.5,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.466251368433,0.03919294084759912,6656.399248285274,6656.495436259345,0.6574168456030876,0.0005849241681977321,0.6569812837985644,0.6584168145218969,99.16666666666667,0.0,99.16666666666667,99.16666666666667,0.19167200381019459,0.10156317322000964,0.04933670074740942,0.33204071100950805,0.3045746667892672,0.005954996391000128,0.2997855829889886,0.3148855839972384,1.0,0.0,1.0,1.0
80.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,0.0,0.8471518196551509,0.8471518196551509,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.7629762500000652,0.0,0.7629762500000652,0.7629762500000652,1.0,0.0,1.0,1.0
80.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.70891059631,0.0,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.054362625000067055,0.0,0.054362625000067055,0.054362625000067055,1.0,0.0,1.0,1.0
80.0,3.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,5,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.172226146393,0.035128903659210835,15038.132129077272,15038.223860078393,0.8474922622145928,0.0002316184998754884,0.8471518196551509,0.8477566377581529,98.93333333333334,0.36514837167010555,98.66666666666667,99.33333333333333,0.05407407403578891,0.051907610613708605,0.0,0.12063838321477975,0.7153666833939496,0.06416484576555163,0.6795212920114864,0.829878499993356,1.0,0.0,1.0,1.0
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.620000000051,0.0,6656.620000000051,6656.620000000051,0.6551222668214232,0.0,0.6551222668214232,0.6551222668214232,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5839570419921074,0.0,0.5839570419921074,0.5839570419921074,1.0,0.0,1.0,1.0
80.0,3.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.0,0.0,0.0,0.0,73.0,0.0,73.0,73.0,6700.516576082025,0.0,6700.516576082025,6700.516576082025,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.03512304200557992,0.0,0.03512304200557992,0.03512304200557992,1.0,0.0,1.0,1.0
