beam_angle_deg,scene_id,scene_name,method,n_runs,target_overlap,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,path_length_km_mean,path_length_km_std,path_length_km_min,path_length_km_max,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_std,path_gain_vs_fixed_pct_min,path_gain_vs_fixed_pct_max,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max,feasible_mean,feasible_std,feasible_min,feasible_max
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.1,90.0,0.0,90.0,90.0,79.0,0.0,79.0,79.0,14197.20799999995,0.0,14197.20799999995,14197.20799999995,0.5090422772980557,0.0,0.5090422772980557,0.5090422772980557,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.3341197060071863,0.0,1.3341197060071863,1.3341197060071863,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.1,0.0,0.0,0.0,0.0,110.0,0.0,110.0,110.0,14269.847556970915,0.0,14269.847556970915,14269.847556970915,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.09777777777777785,0.0,0.09777777777777785,0.09777777777777785,0.0991367729875492,0.0,0.0991367729875492,0.0991367729875492,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,20,0.1,90.0,0.0,90.0,90.0,79.0,0.0,79.0,79.0,14196.87028527007,0.08141026732575249,14196.723939894804,14197.02551357757,0.5114089089563769,0.0005705055152182383,0.5103211026089176,0.5124344656393326,98.37499999999999,0.3283620523551736,97.5,99.16666666666667,0.21264215803883596,0.15482735849211277,0.040063728894762965,0.7039379189938698,0.656057480101299,0.0007133520102582178,0.6548986289999448,0.657318559999112,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,0.1,75.0,0.0,75.0,75.0,72.0,0.0,72.0,72.0,6318.9976634614795,0.0,6318.9976634614795,6318.9976634614795,0.32130050620058165,0.0,0.32130050620058165,0.32130050620058165,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0748043569910806,0.0,1.0748043569910806,1.0748043569910806,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.1,0.0,0.0,0.0,0.0,69.0,0.0,69.0,69.0,6339.366078762451,0.0,6339.366078762451,6339.366078762451,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.6814814814814818,0.0,0.6814814814814818,0.6814814814814818,0.05222749800304882,0.0,0.05222749800304882,0.05222749800304882,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,20,0.1,75.0,0.0,75.0,75.0,72.0,0.0,72.0,72.0,6305.606878587902,3.0625167182292636,6299.438949952688,6310.155873919025,0.5325327446800354,0.04830951044914442,0.4607748547805677,0.6298284136567461,99.31166666666667,0.3810227848477038,98.44444444444444,99.78888888888889,0.4460985455891905,0.24572021628576912,0.029543461585549432,0.8690317003143273,0.6348141935501189,0.002982661854390668,0.6317407019960228,0.644753579996177,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.15,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.223860078419,0.0,15038.223860078419,15038.223860078419,0.8471518196551613,0.0,0.8471518196551613,0.8471518196551613,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,1.3575814590003574,0.0,1.3575814590003574,1.3575814590003574,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.15,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,15166.708910596337,0.0,15166.708910596337,15166.708910596337,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.10228533799818251,0.0,0.10228533799818251,0.10228533799818251,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,20,0.15,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,15038.15691505047,0.07426755873658507,15037.952874807275,15038.223860078419,0.8475932142144315,0.0004896748475517781,0.8471518196551613,0.8489385307520815,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,0.10551992863723751,0.12678431111128702,0.0,0.4793535101948629,0.9658581894989766,0.1306293338728363,0.8677469910035143,1.3489932520024013,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,0.15,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.620000000046,0.0,6656.620000000046,6656.620000000046,0.6551222668213291,0.0,0.6551222668213291,0.6551222668213291,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.084956114005763,0.0,1.084956114005763,1.084956114005763,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.15,0.0,0.0,0.0,0.0,73.0,0.0,73.0,73.0,6700.516576082014,0.0,6700.516576082014,6700.516576082014,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.8148148148148147,0.0,0.8148148148148147,0.8148148148148147,0.05144999899493996,0.0,0.05144999899493996,0.05144999899493996,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,20,0.15,90.0,0.0,90.0,90.0,59.0,0.0,59.0,59.0,6656.574420540766,0.053236830247770525,6656.457284226263,6656.620000000046,0.6558025048113524,0.000794518297854888,0.6551222668213291,0.6575506732275433,99.62500000000001,0.42534815461169795,99.16666666666667,100.0,0.08486309202565526,0.11540755612967721,0.0,0.4644609658001306,0.5423694052522479,0.011064330861318734,0.5331348200124921,0.5721630100015318,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Adaptive Spacing w/o GA,1,0.2,90.0,0.0,90.0,90.0,89.0,0.0,89.0,89.0,15978.687999999942,0.0,15978.687999999942,15978.687999999942,0.5284146850645899,0.0,0.5284146850645899,0.5284146850645899,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.390707378013758,0.0,1.390707378013758,1.390707378013758,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,1,0.2,0.0,0.0,0.0,0.0,124.0,0.0,124.0,124.0,16063.570264221758,0.0,16063.570264221758,16063.570264221758,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.5985185185185184,0.0,0.5985185185185184,0.5985185185185184,0.10218591900775209,0.0,0.10218591900775209,0.10218591900775209,1.0,0.0,1.0,1.0
120.0,gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,20,0.2,90.0,0.0,90.0,90.0,89.0,0.0,89.0,89.0,15978.687999999946,3.73248750142067e-12,15978.687999999942,15978.687999999942,0.5284146850645899,0.0,0.5284146850645899,0.5284146850645899,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.7514311985993117,0.017221793409872885,0.7169536629953654,0.7688787569932174,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,1,0.2,0.0,0.0,0.0,0.0,77.0,0.0,77.0,77.0,7061.587073401576,0.0,7061.587073401576,7061.587073401576,1.2635374264682269,0.0,1.2635374264682269,1.2635374264682269,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,1.1205119819933316,0.0,1.1205119819933316,1.1205119819933316,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,1,0.2,0.0,0.0,0.0,0.0,78.0,0.0,78.0,78.0,7151.954697731466,0.0,7151.954697731466,7151.954697731466,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,1.511111111111111,0.0,1.511111111111111,1.511111111111111,0.06058452800789382,0.0,0.06058452800789382,0.06058452800789382,1.0,0.0,1.0,1.0
120.0,gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,20,0.2,0.0,0.0,0.0,0.0,77.0,0.0,77.0,77.0,7061.587073401575,9.331218753551675e-13,7061.587073401576,7061.587073401576,1.2635374264682266,2.278129578503827e-16,1.2635374264682269,1.2635374264682269,99.33333333333331,1.4580029302424492e-14,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.6852647382969735,0.016710128841588106,0.6570593729993561,0.7034630859998288,1.0,0.0,1.0,1.0
