scene_id,scene_name,terrain_class,method,method_label,n_runs,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,path_length_km_mean,path_length_km_std,path_length_km_min,path_length_km_max,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_std,path_gain_vs_fixed_pct_min,path_gain_vs_fixed_pct_max,coverage_pct_mean,coverage_pct_std,coverage_pct_min,coverage_pct_max,excess_overlap_pct_mean,excess_overlap_pct_std,excess_overlap_pct_min,excess_overlap_pct_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max,feasible_mean,feasible_std,feasible_min,feasible_max
gebco_hawaii_ridge_moderate,GEBCO Hawaii Ridge,ridge_relief,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,145.0,0.0,145.0,145.0,29936.79408303439,0.0,29936.79408303439,29936.79408303439,0.6816384462259838,0.0,0.6816384462259838,0.6816384462259838,98.19444444444444,0.0,98.19444444444444,98.19444444444444,0.0,0.0,0.0,0.0,0.908197041018866,0.0,0.908197041018866,0.908197041018866,1.0,0.0,1.0,1.0
gebco_hawaii_ridge_moderate,GEBCO Hawaii Ridge,ridge_relief,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,146.0,0.0,146.0,146.0,30142.25528360704,0.0,30142.25528360704,30142.25528360704,0.0,0.0,0.0,0.0,98.81111111111112,0.0,98.81111111111112,98.81111111111112,0.6478185966085465,0.0,0.6478185966085465,0.6478185966085465,0.06570504198316485,0.0,0.06570504198316485,0.06570504198316485,1.0,0.0,1.0,1.0
gebco_hawaii_ridge_moderate,GEBCO Hawaii Ridge,ridge_relief,Full Geometry-Aware Hybrid GA,Hybrid GA,5,0.0,0.0,0.0,0.0,145.0,0.0,145.0,145.0,29936.787356434954,0.01504113359453135,29936.760450037214,29936.79408303439,0.681660762404292,4.990049169516972e-05,0.6816384462259838,0.6817500271175249,98.20222222222222,0.017391639824999493,98.19444444444444,98.23333333333333,0.01188298970758376,0.026571172762087637,0.0,0.0594149485379188,0.7316126332036219,0.004424934174666301,0.7269667079963256,0.7383127920038532,1.0,0.0,1.0,1.0
gebco_mariana_trench_complex,GEBCO Mariana Trench,complex_relief,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,145.0,0.0,145.0,145.0,31797.663364969383,0.0,31797.663364969383,31797.663364969383,0.681831169401425,0.0,0.681831169401425,0.681831169401425,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.9386197080020793,0.0,0.9386197080020793,0.9386197080020793,1.0,0.0,1.0,1.0
gebco_mariana_trench_complex,GEBCO Mariana Trench,complex_relief,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,146.0,0.0,146.0,146.0,32015.95814679676,0.0,32015.95814679676,32015.95814679676,0.0,0.0,0.0,0.0,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.6814814814814812,0.0,0.6814814814814812,0.6814814814814812,0.07151908299420029,0.0,0.07151908299420029,0.07151908299420029,1.0,0.0,1.0,1.0
gebco_mariana_trench_complex,GEBCO Mariana Trench,complex_relief,Full Geometry-Aware Hybrid GA,Hybrid GA,5,0.0,0.0,0.0,0.0,145.0,0.0,145.0,145.0,31797.610095517244,0.05764559895995048,31797.524033058944,31797.663364969383,0.6819975534649408,0.0001800527058900676,0.681831169401425,0.6822663645931484,98.93333333333334,0.36514837167010555,98.66666666666667,99.33333333333333,0.09251452658378767,0.10498459606031764,0.0,0.243893693189,0.7446083247952628,0.0311717430636789,0.7249137919861823,0.7978387500043027,1.0,0.0,1.0,1.0
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic Ridge,ridge_relief,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,145.0,0.0,145.0,145.0,26337.653826007576,0.0,26337.653826007576,26337.653826007576,0.6811884200454528,0.0,0.6811884200454528,0.6811884200454528,99.33333333333333,0.0,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.7995575419918168,0.0,0.7995575419918168,0.7995575419918168,1.0,0.0,1.0,1.0
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic Ridge,ridge_relief,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,146.0,0.0,146.0,146.0,26518.293369635212,0.0,26518.293369635212,26518.293369635212,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.6814814814814812,0.0,0.6814814814814812,0.6814814814814812,0.05734095899970271,0.0,0.05734095899970271,0.05734095899970271,1.0,0.0,1.0,1.0
gebco_mid_atlantic_ridge_moderate,GEBCO Mid-Atlantic Ridge,ridge_relief,Full Geometry-Aware Hybrid GA,Hybrid GA,5,0.0,0.0,0.0,0.0,145.0,0.0,145.0,145.0,26337.600556555437,0.05764559895995048,26337.514494097137,26337.653826007576,0.6813892981766193,0.0002173805009109451,0.6811884200454528,0.681713838135135,98.93333333333334,0.36514837167010555,98.66666666666667,99.33333333333333,0.09251452658378767,0.10498459606031764,0.0,0.243893693189,0.7545422500057611,0.03248437134564718,0.7310055829875637,0.8079755420039874,1.0,0.0,1.0,1.0
gebco_puerto_rico_trench_complex,GEBCO Puerto Rico Trench,complex_relief,Adaptive Spacing w/o GA,Adaptive,1,90.0,0.0,90.0,90.0,137.0,0.0,137.0,137.0,30709.76,0.0,30709.76,30709.76,0.49270084458943014,0.0,0.49270084458943014,0.49270084458943014,99.40555555555555,0.0,99.40555555555555,99.40555555555555,0.0,0.0,0.0,0.0,0.8476674999983516,0.0,0.8476674999983516,0.8476674999983516,1.0,0.0,1.0,1.0
