method,method_label,n_public_windows,feasible_windows,source_groups,path_gain_vs_fixed_pct_mean,path_gain_vs_fixed_pct_median,path_gain_vs_fixed_pct_q25,path_gain_vs_fixed_pct_q75,path_gain_vs_fixed_pct_bootstrap_mean_ci95_low,path_gain_vs_fixed_pct_bootstrap_mean_ci95_high,path_gain_vs_fixed_pct_positive_windows,path_gain_vs_fixed_pct_wilcoxon_greater_p,path_gain_vs_fixed_pct_rank_biserial,overlap_cleanup_pp_mean,overlap_cleanup_pp_median,overlap_cleanup_pp_q25,overlap_cleanup_pp_q75,overlap_cleanup_pp_bootstrap_mean_ci95_low,overlap_cleanup_pp_bootstrap_mean_ci95_high,overlap_cleanup_pp_positive_windows,overlap_cleanup_pp_wilcoxon_greater_p,overlap_cleanup_pp_rank_biserial,coverage_delta_pp_mean,coverage_delta_pp_median,coverage_delta_pp_q25,coverage_delta_pp_q75,coverage_delta_pp_bootstrap_mean_ci95_low,coverage_delta_pp_bootstrap_mean_ci95_high,coverage_delta_pp_positive_windows,coverage_delta_pp_wilcoxon_greater_p,coverage_delta_pp_rank_biserial
Adaptive Spacing w/o GA,Adaptive,9,9,main_gebco_pair;supplemental_gebco_four;usgs_three_crops,3.040956877168332,0.6811884200454528,0.4927008445894302,0.681831169401425,0.1980424881416069,8.377896090035327,7,0.009765625,0.8666666666666667,3.894680163528181,0.7985185185185184,0.6814814814814812,1.6333333333333329,0.7192759158460973,9.91977154459321,9,0.001953125,1.0,0.00555555555555524,0.0,-0.6166666666666742,0.0,-0.3666666666666695,0.44814814814815107,2,0.59375,-0.047619047619047616
Full Geometry-Aware Hybrid GA,Hybrid,9,9,main_gebco_pair;supplemental_gebco_four;usgs_three_crops,3.2126104554557617,0.6813701551056772,0.49300557479633655,0.6819816975730475,0.31529504677246567,8.734111488894783,7,0.009765625,0.8666666666666667,3.8686045597212217,0.6631694398495881,0.5629982444802577,1.6333333333333329,0.5945145356952569,10.044845413961006,9,0.001953125,1.0,-0.5408641975308639,-0.9333333333333513,-1.0999999999999943,-0.26666666666667993,-0.9914814814814782,0.017246913580245025,2,0.94921875,-0.6
