method,method_label,method_family,n_public_windows,feasible_windows_C97_O3,R25_effective_length_gain_vs_fixed_pct_mean,R25_effective_length_gain_vs_fixed_pct_median,R25_effective_length_gain_vs_fixed_pct_min,R25_effective_length_gain_vs_fixed_pct_max,R25_mission_time_gain_vs_fixed_pct_mean,R25_mission_time_gain_vs_fixed_pct_median,R25_mission_time_gain_vs_fixed_pct_min,R25_mission_time_gain_vs_fixed_pct_max,R25_turn_arc_share_pct_mean,R25_turn_arc_share_pct_median,R25_turn_arc_share_pct_min,R25_turn_arc_share_pct_max,R25_turn_arc_km_mean,R25_turn_arc_km_median,R25_turn_arc_km_min,R25_turn_arc_km_max,R25_mission_time_h_mean,R25_mission_time_h_median,R25_mission_time_h_min,R25_mission_time_h_max,R25_mission_time_positive_windows,R50_effective_length_gain_vs_fixed_pct_mean,R50_effective_length_gain_vs_fixed_pct_median,R50_effective_length_gain_vs_fixed_pct_min,R50_effective_length_gain_vs_fixed_pct_max,R50_mission_time_gain_vs_fixed_pct_mean,R50_mission_time_gain_vs_fixed_pct_median,R50_mission_time_gain_vs_fixed_pct_min,R50_mission_time_gain_vs_fixed_pct_max,R50_turn_arc_share_pct_mean,R50_turn_arc_share_pct_median,R50_turn_arc_share_pct_min,R50_turn_arc_share_pct_max,R50_turn_arc_km_mean,R50_turn_arc_km_median,R50_turn_arc_km_min,R50_turn_arc_km_max,R50_mission_time_h_mean,R50_mission_time_h_median,R50_mission_time_h_min,R50_mission_time_h_max,R50_mission_time_positive_windows,R100_effective_length_gain_vs_fixed_pct_mean,R100_effective_length_gain_vs_fixed_pct_median,R100_effective_length_gain_vs_fixed_pct_min,R100_effective_length_gain_vs_fixed_pct_max,R100_mission_time_gain_vs_fixed_pct_mean,R100_mission_time_gain_vs_fixed_pct_median,R100_mission_time_gain_vs_fixed_pct_min,R100_mission_time_gain_vs_fixed_pct_max,R100_turn_arc_share_pct_mean,R100_turn_arc_share_pct_median,R100_turn_arc_share_pct_min,R100_turn_arc_share_pct_max,R100_turn_arc_km_mean,R100_turn_arc_km_median,R100_turn_arc_km_min,R100_turn_arc_km_max,R100_mission_time_h_mean,R100_mission_time_h_median,R100_mission_time_h_min,R100_mission_time_h_max,R100_mission_time_positive_windows,R200_effective_length_gain_vs_fixed_pct_mean,R200_effective_length_gain_vs_fixed_pct_median,R200_effective_length_gain_vs_fixed_pct_min,R200_effective_length_gain_vs_fixed_pct_max,R200_mission_time_gain_vs_fixed_pct_mean,R200_mission_time_gain_vs_fixed_pct_median,R200_mission_time_gain_vs_fixed_pct_min,R200_mission_time_gain_vs_fixed_pct_max,R200_turn_arc_share_pct_mean,R200_turn_arc_share_pct_median,R200_turn_arc_share_pct_min,R200_turn_arc_share_pct_max,R200_turn_arc_km_mean,R200_turn_arc_km_median,R200_turn_arc_km_min,R200_turn_arc_km_max,R200_mission_time_h_mean,R200_mission_time_h_median,R200_mission_time_h_min,R200_mission_time_h_max,R200_mission_time_positive_windows
Fixed-Spacing,Fixed,paper_reference,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2976743516945895,0.06003378386139524,0.0355579673066276,0.8805069830069815,6.88532389911763,9.1106186954104,0.39269908169872414,11.388273369262999,2916.2674660897264,2812.024101479098,9.762110770999527,5933.099017321349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5911190798361572,0.11999552986574755,0.07109065622095809,1.7456434535074257,13.77064779823526,18.2212373908208,0.7853981633974483,22.776546738525997,2918.8175860523634,2815.39840469962,9.907554875332389,5937.316896347002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1657146225201631,0.23970342633495811,0.14208030661957957,3.4313871223490677,27.54129559647052,36.4424747816416,1.5707963267948966,45.553093477051995,2923.9178259776354,2822.147011140665,10.198443083998109,5945.752654398308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2683256874206017,0.47826044599406353,0.2837574497844495,6.6350983348798716,55.08259119294104,72.8849495632832,3.141592653589793,91.10618695410399,2934.11830582818,2835.6442240227548,10.780219501329553,5962.62417050092,0
Min-Span Boustrophedon,Min-span,external_heuristic,9,6,4.355068697023949,0.35251647327217905,-0.11646614456245832,36.80064213131116,4.410411001072395,0.3555077920332713,-0.11568932570764957,36.95552270943349,0.23176353710118824,0.04318733834872258,0.034729765083957954,0.6332824577947861,5.951572749300664,6.518804756198821,0.3141592653589793,11.152653920243765,2906.7232430510376,2796.4386407463635,9.73857750568851,5939.962979568055,8,4.4104110010724,0.3555077920332562,-0.11568932570764785,36.955522709433495,4.518739155699419,0.5311309080771088,-0.1141373435579176,37.2573120373591,0.4610205394046853,0.08633738987675763,0.06943541541125851,1.2585944576743433,11.903145498601328,13.037609512397642,0.6283185307179586,22.30530784048753,2908.9275292544826,2798.853012878289,9.854932789154798,5944.0935921311075,8,4.5187391556994125,0.5311309080770896,-0.1141373435579318,37.2573120373591,4.726465488284223,0.6542980902706991,-0.11103998505593807,37.83085466520224,0.9121941748056902,0.17252582545895065,0.13877447219126623,2.4859014968856403,23.806290997202655,26.075219024795285,1.2566370614359172,44.61061568097506,2913.3361016613717,2803.68175714214,10.087643356087376,5952.354817257215,8,4.726465488284227,0.6542980902707247,-0.1110399850559307,37.83085466520224,5.109738352725711,0.7865929782005587,-0.10487156040194966,38.87087821809815,1.7863756750596325,0.344457372991793,0.2771643110727387,4.851206772008894,47.61258199440531,52.15043804959057,2.5132741228718345,89.22123136195012,2922.153246475151,2813.339245669842,10.553064489952531,5968.877267509428,8
Contour-Parallel Fixed-Width,Contour,external_heuristic,9,6,0.6061968006425897,0.11844444528692258,-9.773871653930529,22.50613448115133,0.5597142020815211,0.10859673606558602,-9.999038744730402,22.54773833866209,0.3387999209463773,0.05481303104018065,0.0368872408245449,0.9667137690520968,7.417649320975901,6.518804756198821,0.5497787143782138,14.529866022852792,2911.2986302101776,2796.4386407463635,10.633456980942727,5926.655865440998,6,0.5597142020815262,0.10859673606560645,-9.999038744730406,22.5477383386621,0.468749548459321,0.08892230510615347,-10.439456485919152,22.62880466957007,0.6719860556857604,0.10956600563168492,0.07374727831293697,1.9149157835587791,14.835298641951802,13.037609512397642,1.0995574287564276,29.059732045705584,2914.0459077364653,2798.853012878289,10.837078727008732,5932.037297301313,6,0.4687495484593194,0.0889223051061478,-10.439456485919152,22.62880466957006,0.2944299705849435,0.049657184682567655,-11.28260611956158,22.782869085227635,1.3221198984090534,0.21889217984527323,0.1473858635628783,3.7578714927765247,29.670597283903604,26.075219024795285,2.199114857512855,58.11946409141117,2919.54046278904,2803.68175714214,11.244322219140741,5942.800161021944,5,0.2944299705849491,0.04965718468256709,-11.282606119561581,22.78286908522765,-0.026598874414633638,0.0,-12.832398544919593,23.06223911487933,2.5613599870601256,0.43682817697179455,0.294337914648459,7.243540058622236,59.34119456780721,52.15043804959057,4.39822971502571,116.23892818282233,2930.529572894189,2813.339245669842,12.058809203404763,5964.325888463208,4
Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,9,8,4.405654535175329,0.4025906920289712,0.0,36.80064213131116,4.42671557999176,0.4071526367308393,0.0,36.95552270943349,0.2663258794794566,0.048458400028774495,0.0347644521645316,0.7505329208754089,6.265732014659643,7.3042029195962686,0.39269908169872414,12.095131716320704,2903.1969236895266,2792.675021112663,9.762110770999527,5918.463141798802,7,4.426715579991761,0.40715263673082625,0.0,36.955522709433495,4.467936422949673,0.4162647915373119,0.0,37.2573120373591,0.5292538261781109,0.09686985847402234,0.0695047413864918,1.4898837735475625,12.531464029319286,14.608405839192537,0.7853981633974483,24.19026343264141,2905.5175651764384,2795.3802814532546,9.907554875332389,5922.942820212254,7,4.467936422949673,0.41626479153729484,0.0,37.2573120373591,4.54697912899675,0.4344423033817893,0.0,37.83085466520224,1.0452010064844357,0.19355222318337365,0.1389129316990538,2.9360241989672815,25.062928058638573,29.216811678385074,1.5707963267948966,48.38052686528282,2910.15884815026,2800.790802134437,10.198443083998109,5931.902177039159,7,4.546979128996752,0.4344423033817688,0.0,37.83085466520224,4.692924662939605,0.470611253764676,0.0,38.87087821809815,2.0393462783346705,0.3863566444919165,0.2774404627176271,5.704561103491187,50.125856117277145,58.43362335677015,3.141592653589793,96.76105373056564,2919.441414097904,2811.6118434968016,10.780219501329553,5949.820890692967,7
Adaptive Spacing w/o GA,Adaptive,paper_reference,9,9,3.0200297291835385,0.681192054528962,-0.34401895001429617,23.810702505921842,2.9995010867051404,0.6816444993718829,-0.3414562087571996,23.602877521157453,0.3256695369868062,0.060024757442229265,0.034769731586545886,1.155683294068198,6.649704450098395,9.032078879070655,0.39269908169872414,11.309733552923255,2896.5950921016224,2788.201484784543,9.79544410433286,5892.64496890282,7,2.9995010867051417,0.6816444993718768,-0.3414562087572003,23.60287752115746,2.9595978748328955,0.6816505433836612,-0.3364435902982058,23.197924471275062,0.6459058749160176,0.11997749868188946,0.0695152928923415,2.2849596907146146,13.29940890019679,18.06415775814131,0.7853981633974483,22.61946710584651,2899.0579456016585,2791.546699184199,9.940888208665722,5896.833759107606,7,2.95959787483289,0.6816505433836467,-0.3364435902982064,23.19792447127505,2.884136950334128,0.681662604087339,-0.3268472752045355,22.4283219211149,1.2706890772211459,0.23966745035169232,0.1389340054038994,4.467831238578554,26.59881780039358,36.12831551628262,1.5707963267948966,45.23893421169302,2903.9836526017316,2798.2371279835106,10.231776417331442,5905.211339517179,7,2.884136950334128,0.6816626040873444,-0.32684727520454904,22.42832192111492,2.7486842931913458,0.6816866167899768,-0.30920829885905504,21.03277651667784,2.461446745865492,0.478188837708183,0.2774824932656103,8.553506252800707,53.19763560078716,72.25663103256524,3.141592653589793,90.47786842338604,2913.8350666018773,2811.6179855821338,10.813552834662886,5921.966500336325,7
Hybrid GA Seed-0,Hybrid s0,paper_reference,9,9,3.1798319438424,0.681192054528962,-0.1462615120267882,24.852871326072194,3.157965196910331,0.6816444993718829,-0.145171948759474,24.635950065416075,0.3277786186200967,0.06002504667920278,0.03476975201313397,1.1717107473628225,6.649704450098395,9.032078879070655,0.39269908169872414,11.309733552923255,2896.5679304501123,2788.1880576033286,9.776282617445846,5892.64496890282,7,3.1579651969103364,0.6816444993718768,-0.14517194875947198,24.63595006541609,3.1154522152779207,0.6816505433836612,-0.14304080698662872,24.213272656409575,0.6500328489832511,0.11997807646200444,0.06951533371712339,2.3162813768934214,13.29940890019679,18.06415775814131,0.7853981633974483,22.61946710584651,2899.0307839501493,2791.5332720029846,9.921726721778708,5896.833759107606,7,3.1154522152779176,0.6816505433836467,-0.14304080698662672,24.213272656409572,3.035022548378378,0.681662604087339,-0.13896088186788916,23.40998543098687,1.2785958767227834,0.23966860314407326,0.13893408694006357,4.527688742637432,26.59881780039358,36.12831551628262,1.5707963267948966,45.23893421169302,2903.9564909502215,2798.223700802296,10.212614930444428,5905.211339517179,7,3.0350225483783833,0.6816626040873444,-0.13896088186788724,23.409985430986897,2.890529524919182,0.6816866167899768,-0.13146157594073735,21.953358506286094,2.4759990222986,0.47819113228104965,0.2774826558857552,8.663137580292757,53.19763560078716,72.25663103256524,3.141592653589793,90.47786842338604,2913.8079049503676,2811.6045584009194,10.794391347775871,5921.966500336325,7
