scene_id,scene_label,terrain_class,method,method_label,method_family,radius_m,line_count,line_change_count,geometric_length_km,turn_arc_km,effective_length_km,turn_arc_share_pct,mission_time_h,path_gain_vs_fixed_pct,coverage_pct,excess_overlap_pct,feasible_C97_O3,effective_length_gain_vs_fixed_pct,mission_time_gain_vs_fixed_pct
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Fixed-Spacing,Fixed,paper_reference,25.0,117,116,15166.70891059631,9.1106186954104,15175.81952929172,0.06003378386139524,2812.024101479098,0.0,100.0,0.7985185185185184,1,0.0,0.0
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Fixed-Spacing,Fixed,paper_reference,50.0,117,116,15166.70891059631,18.2212373908208,15184.93014798713,0.11999552986574755,2815.39840469962,0.0,100.0,0.7985185185185184,1,0.0,0.0
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Fixed-Spacing,Fixed,paper_reference,100.0,117,116,15166.70891059631,36.4424747816416,15203.15138537795,0.23970342633495811,2822.147011140665,0.0,100.0,0.7985185185185184,1,0.0,0.0
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Fixed-Spacing,Fixed,paper_reference,200.0,117,116,15166.70891059631,72.8849495632832,15239.593860159594,0.47826044599406353,2835.6442240227548,0.0,100.0,0.7985185185185184,1,0.0,0.0
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Min-Span Boustrophedon,Min-span,external_heuristic,25.0,84,83,15087.731050517965,6.518804756198821,15094.249855274164,0.04318733834872258,2796.4386407463635,0.5207316929724048,99.17222222222222,0.801318725,1,0.5374976544766816,0.5542434975765976
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Min-Span Boustrophedon,Min-span,external_heuristic,50.0,84,83,15087.731050517965,13.037609512397642,15100.768660030362,0.08633738987675763,2798.853012878289,0.5207316929724048,99.17222222222222,0.801318725,1,0.5542434975766024,0.5876749732369185
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Min-Span Boustrophedon,Min-span,external_heuristic,100.0,84,83,15087.731050517965,26.075219024795285,15113.80626954276,0.17252582545895065,2803.68175714214,0.5207316929724048,99.17222222222222,0.801318725,1,0.587674973236937,0.6542980902706991
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Min-Span Boustrophedon,Min-span,external_heuristic,200.0,84,83,15087.731050517965,52.15043804959057,15139.881488567555,0.344457372991793,2813.339245669842,0.5207316929724048,99.17222222222222,0.801318725,1,0.6542980902707247,0.7865929782005587
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Contour-Parallel Fixed-Width,Contour,external_heuristic,25.0,84,83,15087.731050517965,6.518804756198821,15094.249855274164,0.04318733834872258,2796.4386407463635,0.5207316929724048,99.17222222222222,0.801318725,1,0.5374976544766816,0.5542434975765976
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Contour-Parallel Fixed-Width,Contour,external_heuristic,50.0,84,83,15087.731050517965,13.037609512397642,15100.768660030362,0.08633738987675763,2798.853012878289,0.5207316929724048,99.17222222222222,0.801318725,1,0.5542434975766024,0.5876749732369185
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Contour-Parallel Fixed-Width,Contour,external_heuristic,100.0,84,83,15087.731050517965,26.075219024795285,15113.80626954276,0.17252582545895065,2803.68175714214,0.5207316929724048,99.17222222222222,0.801318725,1,0.587674973236937,0.6542980902706991
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Contour-Parallel Fixed-Width,Contour,external_heuristic,200.0,84,83,15087.731050517965,52.15043804959057,15139.881488567555,0.344457372991793,2813.339245669842,0.5207316929724048,99.17222222222222,0.801318725,1,0.6542980902707247,0.7865929782005587
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,25.0,94,93,15065.836708169189,7.3042029195962686,15073.140911088785,0.048458400028774495,2792.675021112663,0.6650895920910439,100.0,0.09344585755555554,1,0.6765935638912255,0.6880837314394811
gebco_cascadia_margin_moderate,GEBCO Cascadia,moderate_slope,Geometry-Shortest Fixed-Width,Geom-short,external_heuristic,50.0,94,93,15065.836708169189,14.608405839192537,15080.445114008382,0.09686985847402234,2795.3802814532546,0.6650895920910439,100.0,0.09344585755555554,1,0.6880837314394781,0.7110227530480306
