crop_label,target_prior_cell_m,actual_prior_cell_m,fine_grid_resolution_m,prior_grid_ny,prior_grid_nx,method,method_label,n_runs,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,planned_path_length_km_mean,planned_path_length_km_std,planned_path_length_km_min,planned_path_length_km_max,replay_path_length_km_mean,replay_path_length_km_std,replay_path_length_km_min,replay_path_length_km_max,path_gain_vs_fixed_replay_pct_mean,path_gain_vs_fixed_replay_pct_std,path_gain_vs_fixed_replay_pct_min,path_gain_vs_fixed_replay_pct_max,planned_coverage_pct_mean,planned_coverage_pct_std,planned_coverage_pct_min,planned_coverage_pct_max,replay_coverage_pct_mean,replay_coverage_pct_std,replay_coverage_pct_min,replay_coverage_pct_max,coverage_loss_pp_mean,coverage_loss_pp_std,coverage_loss_pp_min,coverage_loss_pp_max,planned_excess_overlap_pct_mean,planned_excess_overlap_pct_std,planned_excess_overlap_pct_min,planned_excess_overlap_pct_max,replay_excess_overlap_pct_mean,replay_excess_overlap_pct_std,replay_excess_overlap_pct_min,replay_excess_overlap_pct_max,overlap_increase_pp_mean,overlap_increase_pp_std,overlap_increase_pp_min,overlap_increase_pp_max,planned_feasible_mean,planned_feasible_std,planned_feasible_min,planned_feasible_max,replay_feasible_mean,replay_feasible_std,replay_feasible_min,replay_feasible_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max
high,120.0,120.3896103896104,31.004,78,63,Adaptive Spacing w/o GA,Adaptive,1,135.0,0.0,135.0,135.0,12.0,0.0,12.0,12.0,72.36347126006473,0.0,72.36347126006473,72.36347126006473,72.36347126006473,0.0,72.36347126006473,72.36347126006473,25.569157903132805,0.0,25.569157903132805,25.569157903132805,98.77899877899878,0.0,98.77899877899878,98.77899877899878,97.91666666666666,0.0,97.91666666666666,97.91666666666666,0.8623321123321261,0.0,0.8623321123321261,0.8623321123321261,1.6074926295519312,0.0,1.6074926295519312,1.6074926295519312,1.5880653336078911,0.0,1.5880653336078911,1.5880653336078911,-0.019427295944040024,0.0,-0.019427295944040024,-0.019427295944040024,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.37798708298942074,0.0,0.37798708298942074,0.37798708298942074
high,120.0,120.3896103896104,31.004,78,63,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,97.222427184,0.0,97.222427184,97.222427184,97.222427184,0.0,97.222427184,97.222427184,0.0,0.0,0.0,0.0,96.98819698819699,0.0,96.98819698819699,96.98819698819699,96.0638888888889,0.0,96.0638888888889,96.0638888888889,0.9243080993080923,0.0,0.9243080993080923,0.9243080993080923,31.82279076942723,0.0,31.82279076942723,31.82279076942723,30.90942826483565,0.0,30.90942826483565,30.90942826483565,-0.9133625045915785,0.0,-0.9133625045915785,-0.9133625045915785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003360124974278733,0.0,0.003360124974278733,0.003360124974278733
high,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,5,135.0,0.0,135.0,135.0,12.0,0.0,12.0,12.0,71.7594629227937,0.30748213072363295,71.4306741095419,72.15679775536208,71.7594629227937,0.30748213072363295,71.4306741095419,72.15679775536208,26.190422311732572,0.3162666677120736,25.78173591696032,26.528604378129206,98.67317867317867,0.19698567424224295,98.47374847374849,98.94179894179894,97.90666666666667,0.138615703553401,97.76805555555555,98.13333333333333,0.7665120065120078,0.08309754117386894,0.6663207163207119,0.8762210012209977,1.360108091947287,0.10342020713879087,1.2318046545345924,1.470194101184025,1.3116764008525443,0.06576363195511004,1.226628279190315,1.3765158850316899,-0.0484316910947427,0.04061474888572665,-0.09367821615233507,-0.005176375344277506,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.10138791680219583,0.03538455900293682,0.0656813750101719,0.1598261659964919
high,300.0,299.03225806451616,31.004,32,26,Adaptive Spacing w/o GA,Adaptive,1,150.0,0.0,150.0,150.0,12.0,0.0,12.0,12.0,74.6665758855504,0.0,74.6665758855504,74.6665758855504,74.6665758855504,0.0,74.6665758855504,74.6665758855504,16.84611157037928,0.0,16.84611157037928,16.84611157037928,99.27884615384616,0.0,99.27884615384616,99.27884615384616,98.0625,0.0,98.0625,98.0625,1.2163461538461604,0.0,1.2163461538461604,1.2163461538461604,2.6011960986511693,0.0,2.6011960986511693,2.6011960986511693,2.3789310670882986,0.0,2.3789310670882986,2.3789310670882986,-0.2222650315628707,0.0,-0.2222650315628707,-0.2222650315628707,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.31551966699771583,0.0,0.31551966699771583,0.31551966699771583
high,300.0,299.03225806451616,31.004,32,26,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,11.0,0.0,11.0,11.0,89.793246348,0.0,89.793246348,89.793246348,89.793246348,0.0,89.793246348,89.793246348,0.0,0.0,0.0,0.0,96.875,0.0,96.875,96.875,96.11111111111111,0.0,96.11111111111111,96.11111111111111,0.7638888888888857,0.0,0.7638888888888857,0.7638888888888857,24.75773883856154,0.0,24.75773883856154,24.75773883856154,24.395698211406536,0.0,24.395698211406536,24.395698211406536,-0.36204062715500385,0.0,-0.36204062715500385,-0.36204062715500385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001372250000713393,0.0,0.001372250000713393,0.001372250000713393
high,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,5,150.0,0.0,150.0,150.0,12.0,0.0,12.0,12.0,73.89033907357545,0.23757821615237237,73.6692382156626,74.22412706837243,73.89033907357545,0.23757821615237237,73.6692382156626,74.22412706837243,17.7105828346953,0.2645836138183734,17.338853324545546,17.956816117158382,99.1826923076923,0.15671159627891496,98.91826923076923,99.27884615384616,97.94805555555556,0.11555605635575249,97.82916666666667,98.13194444444444,1.234636752136757,0.1659169872383493,1.0267094017093967,1.3927350427350547,2.087368770088756,0.07974028910673739,2.007544621761801,2.1815164475485003,1.8564141348374563,0.07191388863533982,1.770329569807761,1.9410691498717472,-0.23095463525129997,0.02530109496435356,-0.26555772898231056,-0.20110653126637446,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.07670261659659446,0.012367137642086832,0.05854383300174959,0.09165691598900594
high,600.0,618.0,31.004,16,13,Adaptive Spacing w/o GA,Adaptive,1,120.0,0.0,120.0,120.0,11.0,0.0,11.0,11.0,71.76722720926323,0.0,71.76722720926323,71.76722720926323,71.76722720926323,0.0,71.76722720926323,71.76722720926323,26.19164053239526,0.0,26.19164053239526,26.19164053239526,98.5576923076923,0.0,98.5576923076923,98.5576923076923,98.28611111111111,0.0,98.28611111111111,98.28611111111111,0.2715811965811952,0.0,0.2715811965811952,0.2715811965811952,2.591557918123038,0.0,2.591557918123038,2.591557918123038,2.5249893828415586,0.0,2.5249893828415586,2.5249893828415586,-0.06656853528147932,0.0,-0.06656853528147932,-0.06656853528147932,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.30873862499720417,0.0,0.30873862499720417,0.30873862499720417
high,600.0,618.0,31.004,16,13,Fixed-Spacing,Fixed,1,0.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,97.23455138,0.0,97.23455138,97.23455138,97.23455138,0.0,97.23455138,97.23455138,0.0,0.0,0.0,0.0,95.67307692307693,0.0,95.67307692307693,95.67307692307693,96.3236111111111,0.0,96.3236111111111,96.3236111111111,-0.6505341880341717,0.0,-0.6505341880341717,-0.6505341880341717,30.942336743719554,0.0,30.942336743719554,30.942336743719554,30.592981961427075,0.0,30.592981961427075,30.592981961427075,-0.3493547822924796,0.0,-0.3493547822924796,-0.3493547822924796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002304084016941488,0.0,0.002304084016941488,0.002304084016941488
high,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,5,120.0,0.0,120.0,120.0,11.0,0.0,11.0,11.0,70.68474905044191,0.4792404069389891,69.98255435030794,71.19175036870344,70.68474905044191,0.4792404069389891,69.98255435030794,71.19175036870344,27.304905460816553,0.4928704870206907,26.78348451418192,28.0270712857914,99.32692307692308,0.26332815264671205,99.03846153846155,99.51923076923077,98.305,0.44455792821994206,97.73333333333333,98.73194444444444,1.0219230769230818,0.21498898202311698,0.7872863247863364,1.305128205128213,2.2472650108097256,0.18792089310804286,2.0213385765830476,2.539313859996,2.156573290632913,0.19612266074261162,1.9999751483199713,2.4850959054987474,-0.09069172017681226,0.056721109025107255,-0.1553025807677062,-0.021363428263076356,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.07057594159850851,0.021773801892421757,0.041702124988660216,0.09313354099867865
low,120.0,120.3896103896104,31.004,78,63,Adaptive Spacing w/o GA,Adaptive,1,0.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,52.11,0.0,52.11,52.11,52.11,0.0,52.11,52.11,-0.34662045060658525,0.0,-0.34662045060658525,-0.34662045060658525,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4502075419877656,0.0,0.4502075419877656,0.4502075419877656
