crop_label,scene_id,target_prior_cell_m,actual_prior_cell_m,fine_grid_resolution_m,prior_grid_ny,prior_grid_nx,method,method_label,seed,orientation_deg,line_count,planned_path_length_km,replay_path_length_km,planned_coverage_pct,replay_coverage_pct,coverage_loss_pp,planned_excess_overlap_pct,replay_excess_overlap_pct,overlap_increase_pp,planned_feasible,replay_feasible,planning_time_s,path_gain_vs_fixed_replay_pct
low,usgs_southern_cascadia_30m_fine_low,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,3,0.0,6,52.06409491598092,52.06409491598092,100.0,100.0,0.0,0.0,0.0,0.0,1,1,0.031966415990609676,-0.2582224455630985
low,usgs_southern_cascadia_30m_fine_low,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,4,0.0,6,52.01643257735724,52.01643257735724,100.0,100.0,0.0,0.0,0.0,0.0,1,1,0.06793124999967404,-0.16644054950364565
medium,usgs_southern_cascadia_30m_fine_medium,120.0,120.3896103896104,31.004,78,63,Fixed-Spacing,Fixed,0,0.0,6,51.93,51.93,100.0,99.93194444444444,0.06805555555555998,1.6666666666666665,1.6311805555555552,-0.03548611111111133,1,1,0.004833999992115423,0.0
medium,usgs_southern_cascadia_30m_fine_medium,120.0,120.3896103896104,31.004,78,63,Adaptive Spacing w/o GA,Adaptive,0,0.0,6,52.11,52.11,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.40283854099106975,-0.34662045060658525
medium,usgs_southern_cascadia_30m_fine_medium,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,0,0.0,6,52.03709485686809,52.03709485686809,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.09897004201775417,-0.20622926414035742
medium,usgs_southern_cascadia_30m_fine_medium,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,1,0.0,6,52.07731666510367,52.07731666510367,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.07783366600051522,-0.28368316022274886
medium,usgs_southern_cascadia_30m_fine_medium,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,2,0.0,6,52.02910704742418,52.02910704742418,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.07220179098658264,-0.19084738575810464
medium,usgs_southern_cascadia_30m_fine_medium,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,3,0.0,6,52.06173628404613,52.06173628404613,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.09560512501047924,-0.25368050076280985
medium,usgs_southern_cascadia_30m_fine_medium,120.0,120.3896103896104,31.004,78,63,Full Geometry-Aware Hybrid GA,Hybrid,4,0.0,6,51.969020541325314,51.969020541325314,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.09267008400638588,-0.07514065342829614
medium,usgs_southern_cascadia_30m_fine_medium,300.0,299.03225806451616,31.004,32,26,Fixed-Spacing,Fixed,0,0.0,6,51.93,51.93,100.0,99.93194444444444,0.06805555555555998,1.7187499999999998,1.6311805555555552,-0.08756944444444459,1,1,0.0012592499842867255,0.0
medium,usgs_southern_cascadia_30m_fine_medium,300.0,299.03225806451616,31.004,32,26,Adaptive Spacing w/o GA,Adaptive,0,0.0,6,52.11,52.11,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.40369337500305846,-0.34662045060658525
medium,usgs_southern_cascadia_30m_fine_medium,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,0,0.0,6,52.03709485686809,52.03709485686809,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.03762025001924485,-0.20622926414035742
medium,usgs_southern_cascadia_30m_fine_medium,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,1,0.0,6,52.07731666510367,52.07731666510367,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.05628587500541471,-0.28368316022274886
medium,usgs_southern_cascadia_30m_fine_medium,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,2,0.0,6,52.02910704742418,52.02910704742418,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.06988087500212714,-0.19084738575810464
medium,usgs_southern_cascadia_30m_fine_medium,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,3,0.0,6,52.06173628404613,52.06173628404613,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.03922095900634304,-0.25368050076280985
medium,usgs_southern_cascadia_30m_fine_medium,300.0,299.03225806451616,31.004,32,26,Full Geometry-Aware Hybrid GA,Hybrid,4,0.0,6,51.969020541325314,51.969020541325314,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.051167915982659906,-0.07514065342829614
medium,usgs_southern_cascadia_30m_fine_medium,600.0,618.0,31.004,16,13,Fixed-Spacing,Fixed,0,0.0,6,51.93,51.93,100.0,99.93194444444444,0.06805555555555998,1.5624999999999998,1.6311805555555552,0.06868055555555541,1,1,0.0008922499837353826,0.0
medium,usgs_southern_cascadia_30m_fine_medium,600.0,618.0,31.004,16,13,Adaptive Spacing w/o GA,Adaptive,0,0.0,6,52.11,52.11,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.33039012498920783,-0.34662045060658525
medium,usgs_southern_cascadia_30m_fine_medium,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,0,0.0,6,52.03709485686809,52.03709485686809,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.07461354200495407,-0.20622926414035742
medium,usgs_southern_cascadia_30m_fine_medium,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,1,0.0,6,52.07731666510367,52.07731666510367,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.05237908297567628,-0.28368316022274886
medium,usgs_southern_cascadia_30m_fine_medium,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,2,0.0,6,52.02910704742418,52.02910704742418,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.05692895900574513,-0.19084738575810464
medium,usgs_southern_cascadia_30m_fine_medium,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,3,0.0,6,52.06409491598092,52.06409491598092,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.047091665997868404,-0.2582224455630985
medium,usgs_southern_cascadia_30m_fine_medium,600.0,618.0,31.004,16,13,Full Geometry-Aware Hybrid GA,Hybrid,4,0.0,6,52.01643257735724,52.01643257735724,100.0,99.93194444444444,0.06805555555555998,0.0,0.0,0.0,1,1,0.0698113749967888,-0.16644054950364565
