scene_id,scene_name,method,method_label,scenario,trial,current_speed_mps,controller_residual_gain,coverage_pct,excess_overlap_pct,feasible,orientation_deg_nominal,line_count,path_length_km,current_direction_deg,cross_current_component_mps,residual_drift_frac_of_spacing,heading_error_deg,heading_sigma_deg,global_swath_scale,spacing_ref_m
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,0,0.05,0.55,99.21111111111112,0.7994201035963923,1,0.0,117,15166.70891059631,42.72632839659553,0.033924865207991865,0.012439117242930352,0.12712043374454368,0.2572199393174796,1.0007346633689451,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,1,0.05,0.55,99.35000000000001,0.8136128824852881,1,0.0,117,15166.70891059631,80.36599388980255,0.04929484415297574,0.01807477618942444,-0.17998356162293308,0.2831439704713524,0.9944661090763264,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,2,0.05,0.55,99.28333333333333,0.7933546609031976,1,0.0,117,15166.70891059631,98.17148049441245,0.049492355158184134,0.018147196891334184,0.2656118216099116,0.28347710570013723,0.998620452000766,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,3,0.05,0.55,99.33333333333333,0.7943608878244657,1,0.0,117,15166.70891059631,164.35876662176832,0.013480644938406859,0.004942903144082516,0.040380016009715136,0.2227373544627796,1.000989434268379,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,4,0.05,0.55,99.33333333333333,0.7946067095484354,1,0.0,117,15166.70891059631,119.92178566026294,0.0433353572766135,0.01588963100142495,-0.02782737322468984,0.2730923026065548,1.000749556160183,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,5,0.05,0.55,99.31666666666666,1.0733887354902645,1,0.0,117,15166.70891059631,41.57109406623246,0.03317744306294967,0.012165062456414879,-0.5211000437477021,0.25595928729950845,0.9947045267275091,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,6,0.05,0.55,99.33333333333333,1.0043336613167506,1,0.0,117,15166.70891059631,1.8228028397923324,0.0015904272415906782,0.0005831566552499153,-0.3418877859007365,0.20268252061414962,0.9999479010198973,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,7,0.05,0.55,99.33888888888889,0.7973024444234237,1,0.0,117,15166.70891059631,164.97121459520812,0.012965214682029009,0.004753912050077304,0.2263638952152529,0.2218679954303556,1.0000425406236926,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,8,0.05,0.55,99.30555555555556,0.7939607684831715,1,0.0,117,15166.70891059631,41.96863266573057,0.03343618308076833,0.012259933796281723,0.3296616480078286,0.2563956954628959,0.9997683485070379,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,9,0.05,0.55,99.32777777777778,0.6726136857918833,1,0.0,117,15166.70891059631,81.21515818162692,0.04941344104110384,0.01811826171507141,0.506495082730721,0.28334400388932846,0.996432970052863,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,10,0.05,0.55,99.32777777777778,0.7572250925803662,1,0.0,117,15166.70891059631,160.9937328004973,0.01628357882096706,0.005970645567687924,0.41434748716592895,0.22746496961136445,0.998660053888411,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,11,0.05,0.55,99.31666666666666,0.7832600570873393,1,0.0,117,15166.70891059631,116.61111522885487,0.04470336779709481,0.016391234858934765,-0.05237186263355692,0.2753996803510999,0.9996980771433519,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,12,0.05,0.55,99.3,0.7447989923525097,1,0.0,117,15166.70891059631,82.34550527449878,0.0495544650622834,0.018169970522837246,0.4545012651551172,0.28358186440505134,1.0024224916196338,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,13,0.05,0.55,99.32777777777778,0.9163475010317921,1,0.0,117,15166.70891059631,148.1529868539339,0.02638264920189551,0.00967363804069502,-0.2091850823469949,0.2444987349871971,0.9994267510903276,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,14,0.05,0.55,99.37222222222222,0.8029537276384808,1,0.0,117,15166.70891059631,102.57381380759908,0.04880081795832274,0.017893633251385006,-0.18802467371743045,0.282310712956371,1.0017257960757688,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,15,0.05,0.55,99.36111111111111,0.8951125918154093,1,0.0,117,15166.70891059631,92.73424722723351,0.04994307698658421,0.018312461561747546,-0.23641034348650533,0.2842373231840387,0.9939897161283052,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,16,0.05,0.55,99.57777777777778,0.8022974436971567,1,0.0,117,15166.70891059631,154.35077448662682,0.021643019810203334,0.00793577393040789,0.020364366603813557,0.2365045600798763,1.0002628537534461,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,17,0.05,0.55,99.34444444444445,0.8155047774029299,1,0.0,117,15166.70891059631,138.91369237240474,0.03285975713600364,0.012048577616534668,0.16449351461533787,0.2554234570360595,0.997475034388758,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,18,0.05,0.55,99.33333333333333,0.7941327407535294,1,0.0,117,15166.70891059631,23.22417530991811,0.01971648466668354,0.007229377711117299,0.1758063985686833,0.23325513747113957,0.999879647504565,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,19,0.05,0.55,99.05000000000001,0.8052335875836678,1,0.0,117,15166.70891059631,114.82342647048362,0.04538029508441002,0.016639441530950344,0.05139764548012865,0.2765414310423716,1.0026255351242501,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,20,0.05,0.55,99.33333333333333,0.8005705880966825,1,0.0,117,15166.70891059631,171.6783783759004,0.007236480330301308,0.00265337612111048,0.26616731189104814,0.21220553015710822,0.9998178151480726,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,21,0.05,0.55,99.8,0.7856788964980166,1,0.0,117,15166.70891059631,76.64360197141154,0.04864759780992833,0.017837452530307055,0.020264068876660084,0.2820522816394124,1.0062631541554443,1530.0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Fixed-Spacing,Fixed,mild_current,22,0.05,0.55,99.33333333333333,0.807171488515387,1,0.0,117,15166.70891059631,85.75145526368068,0.04986260335349665,0.018282954562948775,0.05947202336486019,0.2841015909895644,0.996020149528038,1530.0
