scene_id,scene_name,method,seed,orientation_deg,line_count,path_length_km,coverage_pct,uncovered_pct,excess_overlap_pct,feasible_97_3,uncovered_component_count,largest_uncovered_patch_cells,largest_uncovered_patch_pct,coverage_count_0_cells,coverage_count_1_cells,coverage_count_2_cells,coverage_count_ge3_cells,coverage_count_hist_capped_5,cell_excess_overlap_p95,cell_excess_overlap_p99,cell_excess_overlap_max,cell_excess_overlap_nonzero_pct,pass_coverage_95,pass_coverage_97,pass_coverage_98,pass_coverage_99,pass_coverage_99.5,pass_overlap_1,pass_overlap_2,pass_overlap_3,pass_overlap_5,pass_C95_O1,pass_C95_O2,pass_C95_O3,pass_C95_O5,pass_C97_O1,pass_C97_O2,pass_C97_O3,pass_C97_O5,pass_C98_O1,pass_C98_O2,pass_C98_O3,pass_C98_O5,pass_C99_O1,pass_C99_O2,pass_C99_O3,pass_C99_O5,pass_C99.5_O1,pass_C99.5_O2,pass_C99.5_O3,pass_C99.5_O5
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,8,0.0,116,15038.223860078393,99.33333333333333,0.6666666666666714,0.0,1,1,120,0.6666666666666666,120,14520,3360,0,"{""0"": 120, ""1"": 14520, ""2"": 3360}",0.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,9,0.0,116,15038.223860078393,99.33333333333333,0.6666666666666714,0.0,1,1,120,0.6666666666666666,120,14520,3360,0,"{""0"": 120, ""1"": 14520, ""2"": 3360}",0.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,10,0.0,116,15038.156566999354,98.66666666666667,1.3333333333333286,0.1241459171535219,1,2,120,0.6666666666666666,240,14760,3000,0,"{""0"": 240, ""1"": 14760, ""2"": 3000}",0.0,5.174348749690077,6.175328497242943,4.666666666666667,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,11,0.0,116,15038.138430800387,98.66666666666667,1.3333333333333286,0.27074978347474526,1,2,120,0.6666666666666666,240,14640,3120,0,"{""0"": 240, ""1"": 14640, ""2"": 3120}",1.6673029556736274,4.5848032321539165,13.155789810808422,9.333333333333334,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,12,0.0,116,15038.186954711968,99.33333333333333,0.6666666666666714,0.15391068844486552,1,1,120,0.6666666666666666,120,14400,3480,0,"{""0"": 120, ""1"": 14400, ""2"": 3480}",0.0,6.004598350118257,12.15752704192618,4.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,13,0.0,116,15038.223860078393,99.33333333333333,0.6666666666666714,0.0,1,1,120,0.6666666666666666,120,14520,3360,0,"{""0"": 120, ""1"": 14520, ""2"": 3360}",0.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,14,0.0,116,15038.032532372597,98.66666666666667,1.3333333333333286,0.2299499147434906,1,2,120,0.6666666666666666,240,14520,3240,0,"{""0"": 240, ""1"": 14520, ""2"": 3240}",1.8163168321528589,4.830845810148782,8.48385734584412,8.666666666666668,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,15,0.0,116,15038.223860078393,99.33333333333333,0.6666666666666714,0.0,1,1,120,0.6666666666666666,120,14520,3360,0,"{""0"": 120, ""1"": 14520, ""2"": 3360}",0.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,16,0.0,116,15038.223860078393,99.33333333333333,0.6666666666666714,0.0,1,1,120,0.6666666666666666,120,14520,3360,0,"{""0"": 120, ""1"": 14520, ""2"": 3360}",0.0,0.0,0.0,0.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,17,0.0,116,15038.195937012873,99.33333333333333,0.6666666666666714,0.07733462461178231,1,1,120,0.6666666666666666,120,14880,3000,0,"{""0"": 120, ""1"": 14880, ""2"": 3000}",0.0,2.6997163139094447,5.925945886021106,2.666666666666667,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,18,0.0,116,15038.038175310907,98.66666666666667,1.3333333333333286,0.28774862639887644,1,2,120,0.6666666666666666,240,14640,3120,0,"{""0"": 240, ""1"": 14640, ""2"": 3120}",1.8152919677348944,6.044116927943027,11.075342577895858,10.666666666666668,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,19,0.0,116,15038.1527627635,98.66666666666667,1.3333333333333286,0.07262029135950054,1,2,120,0.6666666666666666,240,14400,3360,0,"{""0"": 240, ""1"": 14400, ""2"": 3360}",0.0,2.7740631841556453,4.825598813968907,4.666666666666667,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Fixed-Spacing,0,0.0,73,6700.516576082025,99.33333333333333,0.6666666666666714,0.8148148148148147,1,1,120,0.6666666666666666,120,15240,2640,0,"{""0"": 120, ""1"": 15240, ""2"": 2640}",0.0,30.555555555555554,30.555555555555554,2.666666666666667,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Adaptive Spacing w/o GA,0,90.0,59,6656.620000000051,100.0,0.0,0.0,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,0,90.0,59,6656.620000000051,100.0,0.0,0.0,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,1,90.0,59,6656.620000000051,100.0,0.0,0.0,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,2,90.0,59,6656.620000000051,100.0,0.0,0.0,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,3,90.0,59,6656.620000000051,100.0,0.0,0.0,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,4,90.0,59,6656.547473748718,99.16666666666667,0.8333333333333286,0.007684744332857689,1,1,150,0.8333333333333334,150,14550,3300,0,"{""0"": 150, ""1"": 14550, ""2"": 3300}",0.0064676312759492675,0.1912578445988189,0.1912578445988189,5.0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,5,90.0,59,6656.486502297005,100.0,0.0,0.12672119973036983,1,0,0,0.0,0,15300,2700,0,"{""1"": 15300, ""2"": 2700}",0.3296878465193702,4.014877132078659,4.014877132078659,6.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,6,90.0,59,6656.577842791205,100.0,0.0,0.12859499620712966,1,0,0,0.0,0,15150,2850,0,"{""1"": 15150, ""2"": 2850}",0.5676953171569146,3.1258848946255133,3.1258848946255133,8.333333333333332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,7,90.0,59,6656.613021799817,99.16666666666667,0.8333333333333286,0.010865618508658545,1,1,150,0.8333333333333334,150,14400,3450,0,"{""0"": 150, ""1"": 14400, ""2"": 3450}",0.0,0.6519371105195126,0.6519371105195126,1.6666666666666667,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,8,90.0,59,6656.5705483833935,99.16666666666667,0.8333333333333286,0.11610392836292135,1,1,150,0.8333333333333334,150,14550,3300,0,"{""0"": 150, ""1"": 14550, ""2"": 3300}",0.8975121994232331,2.8796640437544205,2.8796640437544205,6.666666666666667,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,9,90.0,59,6656.531270035219,99.16666666666667,0.8333333333333286,0.19888171260447932,1,1,150,0.8333333333333334,150,15000,2850,0,"{""0"": 150, ""1"": 15000, ""2"": 2850}",0.1982724791429728,6.7866562947989815,6.7866562947989815,6.666666666666667,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,10,90.0,59,6656.620000000051,100.0,0.0,0.0,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,11,90.0,59,6656.605018589165,99.16666666666667,0.8333333333333286,0.020773690686440117,1,1,150,0.8333333333333334,150,15150,2700,0,"{""0"": 150, ""1"": 15150, ""2"": 2700}",0.0,1.042609394732913,1.042609394732913,3.3333333333333335,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,12,90.0,59,6656.612269000877,99.16666666666667,0.8333333333333286,0.1539267079611943,1,1,150,0.8333333333333334,150,14850,3000,0,"{""0"": 150, ""1"": 14850, ""2"": 3000}",0.8275367040777304,3.253056477625144,4.282889348073487,7.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,13,90.0,59,6656.600344672872,100.0,0.0,0.18360107655310753,1,0,0,0.0,0,15150,2850,0,"{""1"": 15150, ""2"": 2850}",0.010832758123740807,6.830387495549478,6.830387495549478,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,14,90.0,59,6656.620000000051,100.0,0.0,0.0,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,15,90.0,59,6656.5126207799085,99.16666666666667,0.8333333333333286,0.08986579629006744,1,1,150,0.8333333333333334,150,14700,3150,0,"{""0"": 150, ""1"": 14700, ""2"": 3150}",0.27267789548553084,2.64516725332406,2.64516725332406,5.833333333333333,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,16,90.0,59,6656.457284226268,99.16666666666667,0.8333333333333286,0.1706374865906993,1,1,150,0.8333333333333334,150,15150,2700,0,"{""0"": 150, ""1"": 15150, ""2"": 2700}",0.04309458682937861,6.768817120913201,6.768817120913201,5.833333333333333,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,17,90.0,59,6656.584803088315,100.0,0.0,0.023072209947898787,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,1.090425243288945,1.090425243288945,3.3333333333333335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,18,90.0,59,6656.48129046351,99.16666666666667,0.8333333333333286,0.46446096580011725,1,1,150,0.8333333333333334,150,14550,3300,0,"{""0"": 150, ""1"": 14550, ""2"": 3300}",2.8258287565106945,13.35082362756414,13.35082362756414,11.666666666666666,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,19,90.0,59,6656.588120938873,100.0,0.0,0.002071706937115577,1,0,0,0.0,0,15000,3000,0,"{""1"": 15000, ""2"": 3000}",0.0,0.12430241622693461,0.12430241622693461,1.6666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
