scene_id,scene_name,scenario,scenario_label,method,method_label,seed,orientation_deg,line_count,prior_rmse_m,prior_mae_m,prior_abs_p95_m,planned_path_length_km,replay_path_length_km,path_gain_vs_truth_fixed_pct,planned_coverage_pct,replay_coverage_pct,coverage_loss_pp,truth_nominal_method_coverage_pct,planned_excess_overlap_pct,replay_excess_overlap_pct,overlap_increase_pp,truth_nominal_method_excess_overlap_pct,planned_feasible,replay_feasible,truth_nominal_method_feasible,planning_time_s
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,5,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.05818783293943852
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,5,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7845758330076933
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,5,0.0,116,0.0,0.0,0.0,15037.95287480725,15037.95287480725,0.848938530752071,98.66666666666667,98.66666666666667,0.0,99.33333333333333,0.032189008120580155,0.032189008120580155,0.0,0.017754944001838673,1,1,1,0.8449497079709545
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,6,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.06166158302221447
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,6,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7848704169737175
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,6,0.0,116,0.0,0.0,0.0,15038.185303017577,15038.185303017577,0.8474060413260699,98.66666666666667,98.66666666666667,0.0,99.33333333333333,0.11202583806354252,0.11202583806354252,0.0,0.017754944001838673,1,1,1,0.8373409999767318
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,7,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.06250095798168331
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,7,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7856307920301333
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,7,0.0,116,0.0,0.0,0.0,15038.118332088465,15038.118332088465,0.8478476066617477,98.66666666666667,98.66666666666667,0.0,99.33333333333333,0.4793535101948629,0.4793535101948629,0.0,0.017754944001838673,1,1,1,0.8781073340214789
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,8,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.06136104092001915
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,8,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7869167909957469
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,8,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.017754944001838673,1,1,1,0.8445716249989346
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,9,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.060415541054680943
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,9,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7693090829998255
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,9,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.017754944001838673,1,1,1,0.7482790830545127
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,10,0.0,117,0.0,0.0,0.0,15166.70891059631,15166.70891059631,0.0,100.0,100.0,0.0,100.0,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,1,1,1,0.05940949998330325
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,10,0.0,116,0.0,0.0,0.0,15038.223860078393,15038.223860078393,0.8471518196551509,99.33333333333333,99.33333333333333,0.0,99.33333333333333,0.0,0.0,0.0,0.0,1,1,1,0.7548325420357287
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,10,0.0,116,0.0,0.0,0.0,15038.156566999354,15038.156566999354,0.8475955090503615,98.66666666666667,98.66666666666667,0.0,99.33333333333333,0.1241459171535219,0.1241459171535219,0.0,0.017754944001838673,1,1,1,0.8263619169592857
