scene_id,scene_name,scenario,scenario_label,method,method_label,n_runs,orientation_deg_mean,orientation_deg_std,orientation_deg_min,orientation_deg_max,line_count_mean,line_count_std,line_count_min,line_count_max,prior_rmse_m_mean,prior_rmse_m_std,prior_rmse_m_min,prior_rmse_m_max,prior_mae_m_mean,prior_mae_m_std,prior_mae_m_min,prior_mae_m_max,prior_abs_p95_m_mean,prior_abs_p95_m_std,prior_abs_p95_m_min,prior_abs_p95_m_max,planned_path_length_km_mean,planned_path_length_km_std,planned_path_length_km_min,planned_path_length_km_max,replay_path_length_km_mean,replay_path_length_km_std,replay_path_length_km_min,replay_path_length_km_max,path_gain_vs_truth_fixed_pct_mean,path_gain_vs_truth_fixed_pct_std,path_gain_vs_truth_fixed_pct_min,path_gain_vs_truth_fixed_pct_max,planned_coverage_pct_mean,planned_coverage_pct_std,planned_coverage_pct_min,planned_coverage_pct_max,replay_coverage_pct_mean,replay_coverage_pct_std,replay_coverage_pct_min,replay_coverage_pct_max,coverage_loss_pp_mean,coverage_loss_pp_std,coverage_loss_pp_min,coverage_loss_pp_max,planned_excess_overlap_pct_mean,planned_excess_overlap_pct_std,planned_excess_overlap_pct_min,planned_excess_overlap_pct_max,replay_excess_overlap_pct_mean,replay_excess_overlap_pct_std,replay_excess_overlap_pct_min,replay_excess_overlap_pct_max,overlap_increase_pp_mean,overlap_increase_pp_std,overlap_increase_pp_min,overlap_increase_pp_max,planned_feasible_mean,planned_feasible_std,planned_feasible_min,planned_feasible_max,replay_feasible_mean,replay_feasible_std,replay_feasible_min,replay_feasible_max,planning_time_s_mean,planning_time_s_std,planning_time_s_min,planning_time_s_max
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Fixed-Spacing,Fixed,20,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.06277447475586087,0.008606327262051575,0.05818783293943852,0.09863091597799212
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Adaptive Spacing w/o GA,Adaptive,20,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15038.223860078393,0.0,15038.223860078393,15038.223860078393,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551507,1.1390647892519134e-16,0.8471518196551509,0.8471518196551509,99.33333333333331,1.4580029302424492e-14,99.33333333333333,99.33333333333333,99.33333333333331,1.4580029302424492e-14,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7719821708567907,0.012224432314477493,0.7535085420822725,0.7889257919741794
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,nominal,Nominal,Full Geometry-Aware Hybrid GA,Hybrid,20,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15038.15691505044,0.07426755873655061,15037.95287480725,15038.223860078393,15038.15691505044,0.07426755873655061,15037.95287480725,15038.223860078393,0.847593214214424,0.0004896748475515261,0.8471518196551509,0.848938530752071,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,0.0,0.0,0.0,0.0,0.10551992863723565,0.12678431111128513,0.0,0.4793535101948629,0.10551992863723565,0.12678431111128513,0.0,0.4793535101948629,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8129345438966993,0.030699790630734223,0.7482790830545127,0.8781073340214789
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,correlated_bias,Correlated bias,Fixed-Spacing,Fixed,20,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,35.0,4.312830829653677e-15,34.99999999999999,35.000000000000014,27.800843602293092,0.2941849839608983,27.289155247882398,28.508459025908397,69.19895052019439,1.4922153063998604,67.14540275462969,72.17076564395711,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.059021122881677004,0.0035871148374210155,0.05196999991312623,0.06835075002163649
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,correlated_bias,Correlated bias,Adaptive Spacing w/o GA,Adaptive,20,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,35.0,4.312830829653677e-15,34.99999999999999,35.000000000000014,27.800843602293092,0.2941849839608983,27.289155247882398,28.508459025908397,69.19895052019439,1.4922153063998604,67.14540275462969,72.17076564395711,15038.223860078393,0.0,15038.223860078393,15038.223860078393,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551507,1.1390647892519134e-16,0.8471518196551509,0.8471518196551509,99.33333333333331,1.4580029302424492e-14,99.33333333333333,99.33333333333333,99.33333333333331,1.4580029302424492e-14,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7612033229204827,0.01349384726331275,0.7361556249670684,0.7856692090863362
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,correlated_bias,Correlated bias,Full Geometry-Aware Hybrid GA,Hybrid,20,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,35.0,4.312830829653677e-15,34.99999999999999,35.000000000000014,27.800843602293092,0.2941849839608983,27.289155247882398,28.508459025908397,69.19895052019439,1.4922153063998604,67.14540275462969,72.17076564395711,15038.15691505044,0.07426755873655061,15037.95287480725,15038.223860078393,15038.15691505044,0.07426755873655061,15037.95287480725,15038.223860078393,0.847593214214424,0.0004896748475515261,0.8471518196551509,0.848938530752071,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,0.0,0.0,0.0,0.0,0.10551992863723565,0.12678431111128513,0.0,0.4793535101948629,0.10551992863723565,0.12678431111128513,0.0,0.4793535101948629,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7941109416424297,0.053822065299067225,0.7433125829556957,1.0043423749739304
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,slope_amplified,Slope amplified,Fixed-Spacing,Fixed,20,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,28.19838467974545,1.3532280048633265,24.756463275020142,30.366321082320237,21.287634023002134,0.8830305519673598,19.248576240987152,22.512271595484545,55.29216672682153,2.446470076581398,47.85653776562423,58.07188432525693,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.05831638959934935,0.0022295676343653086,0.0550422080559656,0.061650666990317404
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,slope_amplified,Slope amplified,Adaptive Spacing w/o GA,Adaptive,20,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,28.19838467974545,1.3532280048633265,24.756463275020142,30.366321082320237,21.287634023002134,0.8830305519673598,19.248576240987152,22.512271595484545,55.29216672682153,2.446470076581398,47.85653776562423,58.07188432525693,15038.223860078393,0.0,15038.223860078393,15038.223860078393,15038.223860078393,0.0,15038.223860078393,15038.223860078393,0.8471518196551507,1.1390647892519134e-16,0.8471518196551509,0.8471518196551509,99.33333333333331,1.4580029302424492e-14,99.33333333333333,99.33333333333333,99.33333333333331,1.4580029302424492e-14,99.33333333333333,99.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7658051519130822,0.024131600056004593,0.740404290962033,0.8453235420165583
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,slope_amplified,Slope amplified,Full Geometry-Aware Hybrid GA,Hybrid,20,0.0,0.0,0.0,0.0,116.0,0.0,116.0,116.0,28.19838467974545,1.3532280048633265,24.756463275020142,30.366321082320237,21.287634023002134,0.8830305519673598,19.248576240987152,22.512271595484545,55.29216672682153,2.446470076581398,47.85653776562423,58.07188432525693,15038.15691505044,0.07426755873655061,15037.95287480725,15038.223860078393,15038.15691505044,0.07426755873655061,15037.95287480725,15038.223860078393,0.847593214214424,0.0004896748475515261,0.8471518196551509,0.848938530752071,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,98.96666666666667,0.3402785236893554,98.66666666666667,99.33333333333333,0.0,0.0,0.0,0.0,0.10551992863723565,0.12678431111128513,0.0,0.4793535101948629,0.10551992863723565,0.12678431111128513,0.0,0.4793535101948629,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7822970582870766,0.022532490700514177,0.7434568329481408,0.8352240839740261
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,canyon_wall_bias,Local wall bias,Fixed-Spacing,Fixed,20,0.0,0.0,0.0,0.0,117.0,0.0,117.0,117.0,24.122647294433506,1.5154810767585225,21.25406763834523,27.59421275599597,17.673176428638186,0.6721991983408527,16.470305818318433,19.020812620730148,47.67686847508522,4.495465571259008,42.12776903070182,63.050368822388094,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,15166.708910596313,3.73248750142067e-12,15166.70891059631,15166.70891059631,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.7985185185185184,0.0,0.7985185185185184,0.7985185185185184,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0582288998470176,0.002896414711129968,0.05143691704142839,0.06486020900774747
