scene_id,scene_label,seed,candidate_idx,orientation_deg,line_count,stride_score,full_score,stride_ga_fitness,full_ga_fitness,stride_coverage_pct,full_coverage_pct,stride_excess_overlap_pct,full_excess_overlap_pct,full_feasible_97_3,is_base_layout
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,0,0.0,116,15038.223860078393,15038.223860078393,15038.223860078393,15038.223860078393,100.0,99.33333333333333,0.0,0.0,1,1
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,1,0.0,116,15038.409431240412,15038.317293038677,15038.409431240412,15038.317293038677,98.0,98.66666666666667,0.07312932865010602,0.0424165947382303,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,2,0.0,116,15038.91096758791,15038.796039151954,15038.91096758791,15038.796039151954,98.0,98.66666666666667,0.2843859789851962,0.2460765003332522,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,3,0.0,116,15040.255345297875,15040.166964313334,15040.255345297875,15040.166964313334,98.0,98.66666666666667,0.7083807090430977,0.6789203808628816,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,4,0.0,116,15040.18899425287,15041.775085349158,15040.18899425287,15041.775085349158,98.0,98.0,0.6723828658066702,1.2010798979026933,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,5,0.0,116,15041.998171140425,15042.42476218154,15041.998171140425,15042.42476218154,98.0,98.66666666666667,1.3253309271614586,1.4675279408663682,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,6,0.0,116,15044.108329438062,15044.951998772041,15044.108329438062,15044.951998772041,98.0,98.66666666666667,2.036409036173131,2.317632147499783,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,7,0.0,116,15046.590830584932,15045.07527985757,15046.590830584932,15045.07527985757,100.0,99.33333333333333,2.7655424581960077,2.260358882408901,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,8,0.0,116,15043.664332254186,15044.147588175125,15043.664332254186,15044.147588175125,98.0,98.66666666666667,1.9223552229230956,2.0834405299027448,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,9,0.0,116,15050.773062579294,15048.657433761025,15050.773062579294,15048.657433761025,100.0,98.66666666666667,4.067810825404359,3.3626012193150534,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,10,0.0,116,15054.54384435455,15050.963386369134,15054.54384435455,15050.963386369134,100.0,98.66666666666667,5.382550402106638,4.189064406967965,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,0,11,0.0,116,15051.110104674673,15052.424581932833,15051.110104674673,15052.424581932833,100.0,98.0,4.115327575780641,4.553486661833815,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,0,0.0,116,15038.223860078393,15038.223860078393,15038.223860078393,15038.223860078393,100.0,99.33333333333333,0.0,0.0,1,1
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,1,0.0,116,15038.504064187728,15038.351683084144,15038.504064187728,15038.351683084144,98.0,98.66666666666667,0.09763226103589762,0.04683855984154909,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,2,0.0,116,15039.13033335973,15039.18432012455,15039.13033335973,15039.18432012455,100.0,99.33333333333333,0.28079220765733326,0.2987877959305457,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,3,0.0,116,15040.042946497424,15039.882341197574,15040.042946497424,15039.882341197574,100.0,99.33333333333333,0.6163764024705923,0.5628413025204008,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,4,0.0,116,15041.859643612079,15041.468878735228,15041.859643612079,15041.468878735228,100.0,99.33333333333333,1.1714954391020849,1.0412404801520283,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,5,0.0,116,15044.531713845727,15043.180950564853,15044.531713845727,15043.180950564853,100.0,99.33333333333333,2.074789754922304,1.624535327963867,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,6,0.0,116,15046.444762330611,15045.36799124385,15046.444762330611,15045.36799124385,98.0,98.0,2.745897384874666,2.3869736892870255,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,7,0.0,116,15048.385302109558,15047.02287420348,15048.385302109558,15047.02287420348,100.0,99.33333333333333,3.3518206055001447,2.8976779701404283,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,8,0.0,116,15051.058828779658,15049.959664761487,15051.058828779658,15049.959664761487,100.0,98.0,4.173570800599431,3.807182794542068,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,9,0.0,116,15042.147209827805,15076.655920402723,15042.147209827805,15076.655920402723,98.0,96.66666666666667,1.504191212399509,4.118205848484009,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,10,0.0,116,15294.61478010826,15079.467001374134,15294.61478010826,15079.467001374134,94.0,96.66666666666667,5.622796993395071,5.017981859797743,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,1,11,0.0,116,15053.714170977883,15080.196687454374,15053.714170977883,15080.196687454374,98.0,96.66666666666667,5.217811732643227,5.1564283359182665,0,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,0,0.0,116,15038.223860078393,15038.223860078393,15038.223860078393,15038.223860078393,100.0,99.33333333333333,0.0,0.0,1,1
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,1,0.0,116,15038.210575815256,15038.340863203704,15038.210575815256,15038.340863203704,98.0,98.66666666666667,0.0,0.0434291294831982,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,2,0.0,116,15039.026842673122,15039.124342246147,15039.026842673122,15039.124342246147,100.0,99.33333333333333,0.19473099471312805,0.22723085238769672,1,0
gebco_cascadia_margin_moderate,GEBCO Cascadia,2,3,0.0,116,15038.729474771939,15039.657302713678,15038.729474771939,15039.657302713678,98.0,98.66666666666667,0.21113096477577822,0.5204069453558309,1,0
