scene_id,scene_label,n_candidates,seeds,candidates_per_seed,orientation_deg,line_count,spearman_stride_full_fitness,spearman_stride_full_score,kendall_stride_full_fitness,top10_overlap_rate,best_stride_candidate_full_score,best_full_candidate_full_score,best_stride_full_score_regret_pct,best_stride_full_coverage_pct,best_stride_full_excess_overlap_pct,best_stride_full_feasible_97_3,runtime_s
gebco_cascadia_margin_moderate,GEBCO Cascadia,144,12,12,0.0,116,0.9340992532481893,0.9340992532481893,0.804001554001554,0.8,15038.340863203704,15038.223860078393,0.0007780381938720179,98.66666666666667,0.0434291294831982,1,1.2206712500046706
gebco_monterey_canyon_complex,GEBCO Monterey,144,12,12,90.0,59,0.967922244517989,0.967922244517989,0.8550893550893551,0.7,6656.773140912095,6656.5836775869075,0.0028462546910609774,99.16666666666667,0.07046127277777407,1,0.8163731669919798
usgs_southern_cascadia_30m_high,USGS High,144,12,12,135.0,12,0.9890017975124358,0.9890017975124358,0.9199689199689199,0.8,80.06514323095351,80.01636751678603,0.06095717124030154,98.52777777777779,2.282095526524487,1,0.5776650829939172
