scene_id,scene_name,method,method_label,scenario,scenario_label,n_mc,current_speed_mps,orientation_deg,line_count,path_length_km,path_cost_vs_hybrid_pct,path_gain_vs_fixed_pct,nominal_coverage_pct,nominal_excess_overlap_pct,coverage_pct_mean,coverage_pct_p05,coverage_pct_p50,coverage_pct_p95,excess_overlap_pct_mean,excess_overlap_pct_p50,excess_overlap_pct_p95,feasible_rate,residual_drift_frac_p95
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,Hybrid,mild_current,Mild,300,0.05,0.0,116,15038.151353299834,0.0,0.847629884995405,99.33333333333333,0.017754944001838673,99.02342592592593,98.66666666666667,99.03055555555557,99.33333333333333,0.026919740240903104,0.022586442883772345,0.060508834547680676,1.0,0.01827059771904425
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,Hybrid,cross_current,Cross,300,0.15,0.0,116,15038.151353299834,0.0,0.847629884995405,99.33333333333333,0.017754944001838673,98.99681481481481,98.66666666666667,98.99444444444444,99.33333333333333,0.13156687451277566,0.08819478975099228,0.3983657784751085,1.0,0.06978407570704617
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Full Geometry-Aware Hybrid GA,Hybrid,adverse_current,Adverse,300,0.3,0.0,116,15038.151353299834,0.0,0.847629884995405,99.33333333333333,0.017754944001838673,98.60901851851852,97.31027777777778,98.74444444444444,99.30027777777778,0.6046991609833117,0.44326778723864824,1.9095596625575482,0.9766666666666667,0.1694444056072395
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Current/Uncertainty-Margin Hybrid,UA-Hybrid,mild_current,Mild,300,0.05,0.0,116,15038.223860078393,0.00048215220644728924,0.8471518196551509,99.33333333333333,0.0,99.04375925925928,98.66666666666667,99.06944444444446,99.33333333333333,8.009998756051293e-09,0.0,0.0,1.0,0.01827059771904425
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Current/Uncertainty-Margin Hybrid,UA-Hybrid,cross_current,Cross,300,0.15,0.0,116,15038.223860078393,0.00048215220644728924,0.8471518196551509,99.33333333333333,0.0,99.02505555555557,98.66666666666667,99.03333333333333,99.33333333333333,0.03704438565863813,0.007227148340517472,0.15659976456972485,1.0,0.06978407570704617
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Current/Uncertainty-Margin Hybrid,UA-Hybrid,adverse_current,Adverse,300,0.3,0.0,116,15038.223860078393,0.00048215220644728924,0.8471518196551509,99.33333333333333,0.0,98.68001851851852,97.46083333333333,98.80555555555556,99.32805555555557,0.4970690613402679,0.32216981855760385,1.770719711535226,0.9933333333333333,0.1694444056072395
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Current-Aware Margin Hybrid,CA-Hybrid,mild_current,Mild,300,0.05,0.0,116,15038.223860078393,0.00048215220644728924,0.8471518196551509,99.33333333333333,0.0,99.04375925925928,98.66666666666667,99.06944444444446,99.33333333333333,8.009998756051293e-09,0.0,0.0,1.0,0.01827059771904425
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Current-Aware Margin Hybrid,CA-Hybrid,cross_current,Cross,300,0.15,0.0,116,15038.223860078393,0.00048215220644728924,0.8471518196551509,99.33333333333333,0.0,99.02505555555557,98.66666666666667,99.03333333333333,99.33333333333333,0.03704438565863813,0.007227148340517472,0.15659976456972485,1.0,0.06978407570704617
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Current-Aware Margin Hybrid,CA-Hybrid,adverse_current,Adverse,300,0.3,0.0,116,15038.223860078393,0.00048215220644728924,0.8471518196551509,99.33333333333333,0.0,98.68001851851852,97.46083333333333,98.80555555555556,99.32805555555557,0.4970690613402679,0.32216981855760385,1.770719711535226,0.9933333333333333,0.1694444056072395
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Execution-Risk-Aware Hybrid,ER-Hybrid,mild_current,Mild,300,0.05,0.0,116,15038.151353299834,0.0,0.847629884995405,99.33333333333333,0.017754944001838673,99.02342592592593,98.66666666666667,99.03055555555557,99.33333333333333,0.026919740240903104,0.022586442883772345,0.060508834547680676,1.0,0.01827059771904425
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Execution-Risk-Aware Hybrid,ER-Hybrid,cross_current,Cross,300,0.15,0.0,116,15038.151353299834,0.0,0.847629884995405,99.33333333333333,0.017754944001838673,98.99681481481481,98.66666666666667,98.99444444444444,99.33333333333333,0.13156687451277566,0.08819478975099228,0.3983657784751085,1.0,0.06978407570704617
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,Execution-Risk-Aware Hybrid,ER-Hybrid,adverse_current,Adverse,300,0.3,0.0,116,15038.151353299834,0.0,0.847629884995405,99.33333333333333,0.017754944001838673,98.60901851851852,97.31027777777778,98.74444444444444,99.30027777777778,0.6046991609833117,0.44326778723864824,1.9095596625575482,0.9766666666666667,0.1694444056072395
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,Hybrid,mild_current,Mild,300,0.05,90.0,59,6656.620000000051,0.0,0.6551222668214232,100.0,0.0,99.47803703703704,99.12055555555555,99.39444444444445,100.0,0.0,0.0,0.0,1.0,0.018308480808872967
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,Hybrid,cross_current,Cross,300,0.15,90.0,59,6656.620000000051,0.0,0.6551222668214232,100.0,0.0,99.2500925925926,98.60472222222222,99.20277777777778,100.0,0.037244557701197036,0.005572701585396328,0.18054023752835752,1.0,0.06967770061461703
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Full Geometry-Aware Hybrid GA,Hybrid,adverse_current,Adverse,300,0.3,90.0,59,6656.620000000051,0.0,0.6551222668214232,100.0,0.0,98.51498148148148,96.77111111111111,98.73055555555555,99.6136111111111,0.5898711640389528,0.36101668992237435,1.9075370622487708,0.9133333333333333,0.16975743516085767
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Current/Uncertainty-Margin Hybrid,UA-Hybrid,mild_current,Mild,300,0.05,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.99664814814815,99.9888888888889,99.99444444444444,100.0,0.003712936059958182,0.0,0.02361350090626233,1.0,0.01826608805574011
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Current/Uncertainty-Margin Hybrid,UA-Hybrid,cross_current,Cross,300,0.15,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.98062962962962,99.93333333333332,99.9888888888889,100.0,0.010066757170541042,0.0011233186973905675,0.03336595156171978,1.0,0.06975419904773998
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Current/Uncertainty-Margin Hybrid,UA-Hybrid,adverse_current,Adverse,300,0.3,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.15324074074074,96.89638888888888,99.61388888888888,99.99444444444444,0.18567962088959514,0.07019382183852582,0.7522030234711822,0.94,0.16937047517279552
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Current-Aware Margin Hybrid,CA-Hybrid,mild_current,Mild,300,0.05,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.99664814814815,99.9888888888889,99.99444444444444,100.0,0.003712936059958182,0.0,0.02361350090626233,1.0,0.01826608805574011
gebco_monterey_canyon_complex,GEBCO Monterey Canyon,Current-Aware Margin Hybrid,CA-Hybrid,cross_current,Cross,300,0.15,75.0,72,6318.997663461488,-5.071978519707607,5.693873125878026,100.0,0.0,99.98062962962962,99.93333333333332,99.9888888888889,100.0,0.010066757170541042,0.0011233186973905675,0.03336595156171978,1.0,0.06975419904773998
