scene_id,scene_name,target_overlap,quantile,used_ga_cleanup,orientation_deg,line_count,path_length_km,coverage_pct,excess_overlap_pct,moderate_feasible_rate,moderate_coverage_p05,moderate_overlap_p95,strong_feasible_rate,strong_coverage_p05,strong_overlap_p95,selection_score
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.18,0,90.0,75,13484.939999999964,100.0,0.0,0.7416666666666667,95.7611111111111,0.1751139964443931,0.14166666666666666,89.08194444444443,2.3995935578149648,175.33611111111128
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.22,0,90.0,75,13484.939999999964,100.0,0.0,0.7416666666666667,95.7611111111111,0.1751139964443931,0.14166666666666666,89.08194444444443,2.3995935578149648,175.33611111111128
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.26,0,90.0,75,13484.939999999964,100.0,0.0,0.7416666666666667,95.7611111111111,0.1751139964443931,0.14166666666666666,89.08194444444443,2.3995935578149648,175.33611111111128
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.3,0,90.0,75,13484.939999999964,100.0,0.0,0.7416666666666667,95.7611111111111,0.1751139964443931,0.14166666666666666,89.08194444444443,2.3995935578149648,175.33611111111128
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.05,0.34,0,90.0,75,13484.939999999964,100.0,0.0,0.7416666666666667,95.7611111111111,0.1751139964443931,0.14166666666666666,89.08194444444443,2.3995935578149648,175.33611111111128
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.18,0,90.0,79,14197.207999999964,100.0,0.0,0.9916666666666667,97.49861111111112,0.4868600223242071,0.35,92.28027777777778,3.5151120625372374,85.46200761140896
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.22,0,90.0,79,14197.207999999964,100.0,0.0,0.9916666666666667,97.49861111111112,0.4868600223242071,0.35,92.28027777777778,3.5151120625372374,85.46200761140896
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.26,0,90.0,79,14197.207999999964,100.0,0.0,0.9916666666666667,97.49861111111112,0.4868600223242071,0.35,92.28027777777778,3.5151120625372374,85.46200761140896
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.3,0,90.0,79,14197.207999999964,100.0,0.0,0.9916666666666667,97.49861111111112,0.4868600223242071,0.35,92.28027777777778,3.5151120625372374,85.46200761140896
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.1,0.34,0,90.0,79,14197.207999999964,100.0,0.0,0.9916666666666667,97.49861111111112,0.4868600223242071,0.35,92.28027777777778,3.5151120625372374,85.46200761140896
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.18,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.61805555555556,1.673217729345501,0.38333333333333336,94.56,5.4504983569249825,79.20753715722608
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.22,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.61805555555556,1.673217729345501,0.38333333333333336,94.56,5.4504983569249825,79.20753715722608
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.26,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.61805555555556,1.673217729345501,0.38333333333333336,94.56,5.4504983569249825,79.20753715722608
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.3,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.61805555555556,1.673217729345501,0.38333333333333336,94.56,5.4504983569249825,79.20753715722608
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.15,0.34,1,0.0,116,15038.223860078393,99.33333333333333,0.0,1.0,98.61805555555556,1.673217729345501,0.38333333333333336,94.56,5.4504983569249825,79.20753715722608
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.18,1,90.0,89,15978.687999999964,100.0,0.0,0.775,98.43249999999999,4.138464441505968,0.21666666666666667,96.23972222222223,7.759071002280423,149.8244106858331
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.22,1,90.0,89,15978.687999999964,100.0,0.0,0.775,98.43249999999999,4.138464441505968,0.21666666666666667,96.23972222222223,7.759071002280423,149.8244106858331
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.26,1,90.0,89,15978.687999999964,100.0,0.0,0.775,98.43249999999999,4.138464441505968,0.21666666666666667,96.23972222222223,7.759071002280423,149.8244106858331
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.3,1,90.0,89,15978.687999999964,100.0,0.0,0.775,98.43249999999999,4.138464441505968,0.21666666666666667,96.23972222222223,7.759071002280423,149.8244106858331
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.2,0.34,1,90.0,89,15978.687999999964,100.0,0.0,0.775,98.43249999999999,4.138464441505968,0.21666666666666667,96.23972222222223,7.759071002280423,149.8244106858331
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.25,0.18,0,90.0,95,17047.539999999964,100.0,4.999999999999999,0.08333333333333333,98.78277777777778,7.854623432321512,0.03333333333333333,97.36527777777778,10.301282395614964,355.8878598755794
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.25,0.22,0,90.0,95,17047.539999999964,100.0,4.999999999999999,0.08333333333333333,98.78277777777778,7.854623432321512,0.03333333333333333,97.36527777777778,10.301282395614964,355.8878598755794
gebco_cascadia_margin_moderate,GEBCO Cascadia Margin,0.25,0.26,0,90.0,95,17047.539999999964,100.0,4.999999999999999,0.08333333333333333,98.78277777777778,7.854623432321512,0.03333333333333333,97.36527777777778,10.301282395614964,355.8878598755794
